gene_accession,SOY05u_t2_M_MB,SOY01u_t2_M_MB,SOY04e_t2_M_MB,SOY03e_t2_M_MB,SOY02u_t2_M_MB,SOY05e_t2_M_MB,SOY02e_t2_M_MB,SOY03u_t2_M_MB,SOY01e_t2_M_MB,SOY04u_t2_M_MB
MEG_3907/Multi_compound/Drug_and_biocide_resistance/Drug_and_biocide_RND_efflux_pumps/MEXD,0,0,0,0,32,0,0,0,0,0
MEG_2796/Drugs/MLS/23S_rRNA_methyltransferases/ERMB,2,0,2,0,2,0,0,0,0,0
MEG_5779/Drugs/Lipopeptides/Daptomycin_resistant_mutant/PGSA/RequiresSNPConfirmation,0,0,0,0,0,0,0,0,0,18
MEG_1023/Drugs/Aminoglycosides/Aminoglycoside_O_phosphotransferases/APH3_DPRIME,0,0,0,0,0,20,0,0,0,0
MEG_7818/Biocides/Peroxide_resistance/peroxide_resistance_protein/YDEI,0,0,0,0,12,43,0,0,0,0
MEG_7174/Drugs/Tetracyclines/Tetracycline_resistance_ribosomal_protection_proteins/TETO,2,4,10,10,18,16,8,8,4,14
MEG_480/Drugs/betalactams/Class_C_betalactamases/ACT,0,0,0,0,0,6,0,0,0,4
MEG_6604/Drugs/Sulfonamides/Sulfonamide_resistant_dihydropteroate_synthases/SULI,0,6,0,0,0,0,2,2,0,0
MEG_5815/Metals/Arsenic_resistance/Arsenic_resistance_protein/PSTC,56,60,43,22,453,328,48,104,141,223
MEG_1986/Drugs/betalactams/Class_C_betalactamases/CMY,0,0,0,0,0,0,0,0,0,2
MEG_1208/Drugs/betalactams/Class_A_betalactamases/BCL,0,0,0,0,50,0,0,0,0,64
MEG_7178/Drugs/Tetracyclines/Tetracycline_resistance_ribosomal_protection_proteins/TETQ,0,0,0,0,0,0,12,0,0,0
MEG_963/Drugs/Aminoglycosides/Aminoglycoside_O_nucleotidyltransferases/ANT3_DPRIME,0,0,0,0,0,0,0,0,2,0
MEG_1055/Drugs/Aminoglycosides/Aminoglycoside_O_phosphotransferases/APH3_DPRIME,5,13,6,14,48,5,17,13,16,23
MEG_2071/Metals/Copper_resistance/Copper_resistance_regulator/COPR,0,0,0,0,0,0,0,0,0,26
MEG_3835/Drugs/Multi_drug_resistance/Multi_drug_MATE_efflux_pump/MEPB,0,0,0,0,0,0,0,100,90,0
MEG_2787/Drugs/MLS/23S_rRNA_methyltransferases/ERMA,0,0,0,0,0,22,16,0,18,16
MEG_8249/Drugs/MLS/Macrolide_resistant_23S_rRNA_mutation/MLS23S/RequiresSNPConfirmation,9530,13203,10681,8366,21003,14574,10930,23211,21983,36053
MEG_4281/Drugs/betalactams/Mutant_porin_proteins/OMP36/RequiresSNPConfirmation,10,0,6,3,60,37,3,3,10,23
MEG_2922/Drugs/Phenicol/Phenicol_resistance_MFS_efflux_pumps/FLOR,0,0,0,0,0,0,0,1,0,0
MEG_6525/Multi_compound/Drug_and_biocide_resistance/Drug_and_biocide_RND_efflux_pumps/SME,0,0,0,0,106,0,0,0,0,0
MEG_1091/Drugs/Aminoglycosides/Aminoglycoside_O_phosphotransferases/APH6,28,31,12,90,86,16,26,16,32,45
MEG_4291/Drugs/Multi_drug_resistance/Multi_drug_RND_efflux_pumps/OPCM,0,0,0,0,54,0,0,0,0,0
MEG_4533/Drugs/betalactams/Class_D_betalactamases/OXA,0,0,0,0,0,0,0,0,20,0
MEG_6630/Drugs/Sulfonamides/Sulfonamide_resistant_dihydropteroate_synthases/SULII,21,43,16,32,49,31,13,36,61,156
MEG_6522/Multi_compound/Drug_and_biocide_resistance/Drug_and_biocide_RND_efflux_pumps/SME,0,0,0,0,126,0,0,0,0,74
MEG_786/Drugs/Aminoglycosides/Aminoglycoside_O_nucleotidyltransferases/ANT3_DPRIME,0,0,0,0,0,0,0,0,0,2
MEG_6504/Metals/Multi_metal_resistance/Multi_metal_RND_efflux_pumps/SILF,0,0,0,0,0,29,0,0,0,0
MEG_4355/Multi_compound/Drug_and_biocide_resistance/Drug_and_biocide_RND_efflux_pumps/OQXB,0,0,0,0,12,6,0,0,10,15
MEG_2622/Drugs/Trimethoprim/Dihydrofolate_reductase/DHFR/RequiresSNPConfirmation,0,0,0,0,0,0,0,0,0,8
MEG_7884/Multi_compound/Drug_and_biocide_resistance/Drug_and_biocide_RND_efflux_regulator/ACRR/RequiresSNPConfirmation,20,0,0,2,39,0,0,11,0,36
MEG_3435/Metals/Multi_metal_resistance/Multi_metal_resistance_regulator/IRLR,0,0,0,0,0,0,0,0,0,46
MEG_7185/Drugs/Tetracyclines/Tetracycline_transcriptional_repressor/TETR/RequiresSNPConfirmation,109,195,61,85,89,106,56,76,420,198
MEG_6139/Drugs/Lipopeptides/Daptomycin_resistant_beta_subunit_of_RNA_polymerase_RpoC/RPOCL/RequiresSNPConfirmation,1522,1951,1470,1340,2597,1956,1962,3132,2819,5070
MEG_757/Drugs/Aminoglycosides/Aminoglycoside_O_nucleotidyltransferases/ANT2_DPRIME,0,0,0,0,0,0,0,1,0,0
MEG_5926/Drugs/Fluoroquinolones/Quinolone_resistance_protein_Qnr/QNRB,0,0,0,0,0,6,0,0,0,0
MEG_7128/Drugs/Tetracyclines/Tetracycline_resistance_ribosomal_protection_proteins/TETM,72,57,41,55,161,72,66,98,95,110
MEG_7236/Drugs/Tetracyclines/Tetracycline_resistance_ribosomal_protection_proteins/TETW,8,12,12,12,28,14,10,18,4,18
MEG_1548/Drugs/Phenicol/Chloramphenicol_acetyltransferases/CAT,0,0,2,0,0,0,0,0,0,0
MEG_2494/Drugs/Trimethoprim/Dihydrofolate_reductase/DFRA,0,0,0,0,0,0,0,0,1,1
MEG_2844/Drugs/MLS/23S_rRNA_methyltransferases/ERMR,6,0,0,5,8,8,0,16,53,30
MEG_2847/Drugs/MLS/23S_rRNA_methyltransferases/ERMT,0,0,8,6,0,0,10,12,45,31
MEG_4005/Metals/Multi_metal_resistance/Multi_metal_ABC_efflux_pumps/MODB,0,0,2,3,31,29,0,8,0,2
MEG_3752/Multi_compound/Drug_and_biocide_resistance/Drug_and_biocide_RND_efflux_pumps/MDTF,0,0,0,0,207,330,0,0,0,107
MEG_4120/Metals/Nickel_resistance/Nickel_MFS_efflux_pumps/NCRAN,0,0,0,0,0,6,0,0,0,0
MEG_7882/Drugs/betalactams/Class_C_betalactamases/ACC,0,0,0,0,12,0,0,0,0,28
MEG_6837/Drugs/betalactams/Class_A_betalactamases/TEM,0,0,0,0,0,0,2,0,0,0
MEG_6668/Drugs/betalactams/Class_A_betalactamases/TEM,0,0,0,0,0,0,2,0,0,0
MEG_2090/Metals/Multi_metal_resistance/Multi_metal_resistance_protein/CORC,42,14,30,11,146,99,68,47,154,118
MEG_1064/Drugs/Aminoglycosides/Aminoglycoside_O_phosphotransferases/APH3_PRIME,0,0,0,0,0,0,0,0,7,7
MEG_6753/Drugs/betalactams/Class_A_betalactamases/TEM,0,0,0,0,0,0,0,2,0,0
MEG_4195/Metals/Nickel_resistance/Nickel_resistance_protein/NIRA,0,0,0,0,0,20,0,0,0,0
MEG_3288/Biocides/Peroxide_resistance/Peroxide_resistance_stress_protein/IBPB,0,0,0,0,53,29,0,6,67,15
MEG_2786/Drugs/MLS/23S_rRNA_methyltransferases/ERMA,0,0,0,0,16,0,0,0,30,17
MEG_2907/Drugs/betalactams/Class_B_betalactamases/FEZ,0,0,0,0,0,0,0,30,0,0
MEG_2443/Metals/Copper_resistance/Copper_resistance_regulator/CUER,0,0,4,6,76,58,12,4,0,9
MEG_7615/Drugs/Glycopeptides/VanA_type_accessory_protein/VANZA,0,0,0,8,0,0,0,8,0,22
MEG_2940/Drugs/Sulfonamides/Sulfonamide_resistant_dihydropteroate_synthases/FOLP/RequiresSNPConfirmation,0,0,0,0,0,0,0,0,50,82
MEG_6128/Drugs/Rifampin/Rifampin_resistant_beta_subunit_of_RNA_polymerase_RpoB/RPOB/RequiresSNPConfirmation,90,75,52,60,153,110,60,156,149,226
MEG_7176/Drugs/Tetracyclines/Tetracycline_resistance_ribosomal_protection_proteins/TETO,0,0,0,0,0,0,0,0,0,4
MEG_6012/Drugs/Fluoroquinolones/Quinolone_resistance_protein_Qnr/QNRD,0,0,0,16,0,0,0,0,0,0
MEG_6880/Drugs/betalactams/Class_A_betalactamases/TEM,4,0,2,0,0,4,4,2,0,2
MEG_7584/Drugs/Glycopeptides/VanC_type_resistance_protein/VANXYC,12,0,22,0,39,26,0,0,38,58
MEG_6770/Drugs/betalactams/Class_A_betalactamases/TEM,2,0,0,0,0,0,0,0,0,0
MEG_4366/Multi_compound/Drug_and_biocide_resistance/Drug_and_biocide_RND_efflux_pumps/OQXB,0,0,0,0,33,8,0,0,0,22
MEG_3551/Drugs/betalactams/Class_A_betalactamases/LEN,0,0,0,0,2,0,0,0,0,0
MEG_422/Drugs/betalactams/Class_C_betalactamases/ACT,0,0,0,0,0,6,0,0,0,0
MEG_3222/Drugs/Fluoroquinolones/Fluoroquinolone_resistant_DNA_topoisomerases/GYRA/RequiresSNPConfirmation,0,0,0,0,0,0,0,0,0,51
MEG_2942/Drugs/Sulfonamides/Sulfonamide_resistant_dihydropteroate_synthases/FOLP/RequiresSNPConfirmation,0,18,0,0,20,0,0,0,0,0
MEG_8010/Drugs/betalactams/Class_A_betalactamases/CARB,0,0,0,0,0,0,0,0,0,24
MEG_8257/Drugs/Mycobacterium_tuberculosis_specific_Drug/Isoniazid_resistant_mutant/MSHA/RequiresSNPConfirmation,0,0,0,0,96,0,0,0,0,0
MEG_4664/Drugs/betalactams/Class_D_betalactamases/OXA,0,0,0,0,12,0,0,0,0,0
MEG_6501/Metals/Multi_metal_resistance/Multi_metal_RND_efflux_pumps/SILC,32,0,0,12,12,82,0,34,20,0
MEG_4287/Drugs/Multi_drug_resistance/MDR_mutant_porin_proteins/OMPF/RequiresSNPConfirmation,0,0,0,0,133,72,18,30,91,57
MEG_1210/Multi_compound/Drug_and_biocide_resistance/Drug_and_biocide_MFS_efflux_pumps/BCR,0,8,9,4,64,92,9,7,37,21
MEG_815/Drugs/Aminoglycosides/Aminoglycoside_O_nucleotidyltransferases/ANT3_DPRIME,0,0,0,0,0,0,0,0,2,0
MEG_7218/Drugs/Tetracyclines/Tetracycline_resistance_ribosomal_protection_proteins/TETW,2,9,20,2,39,16,10,20,14,36
MEG_3271/Drugs/Multi_drug_resistance/Multi_drug_RND_efflux_pumps/HNS,12,0,9,3,129,107,37,20,254,41
MEG_7446/Drugs/Glycopeptides/VanN_type_resistance_protein/VANN,0,0,0,0,0,0,46,0,0,0
MEG_5279/Drugs/betalactams/Class_A_betalactamases/OXY,0,0,0,0,5,4,0,0,0,0
MEG_2958/Drugs/Sulfonamides/Sulfonamide_resistant_dihydropteroate_synthases/FOLP/RequiresSNPConfirmation,0,0,0,0,20,0,0,0,0,0
MEG_47/Drugs/Aminoglycosides/Aminoglycoside_N_acetyltransferases/AAC3,0,0,0,0,20,0,10,0,0,0
MEG_7484/Drugs/Glycopeptides/VanN_type_regulator/VANRN,24,0,0,22,32,26,28,34,20,46
MEG_6925/Drugs/betalactams/Class_A_betalactamases/TEM,0,0,0,0,0,2,8,0,2,2
MEG_2528/Drugs/Trimethoprim/Dihydrofolate_reductase/DFRA,0,0,0,0,0,0,0,0,1,0
MEG_3898/Metals/Mercury_resistance/Mercury_resistance_protein/MERT,0,0,0,0,0,10,0,0,8,0
MEG_7016/Drugs/Tetracyclines/Tetracycline_resistance_MFS_efflux_pumps/TETA,35,51,34,29,34,36,14,32,0,154
MEG_1058/Drugs/Aminoglycosides/Aminoglycoside_O_phosphotransferases/APH3_DPRIME,5,10,6,40,39,6,15,4,13,26
MEG_2093/Metals/Multi_metal_resistance/Multi_metal_resistance_protein/CORD,4,0,5,2,68,48,0,0,0,11
MEG_4068/Drugs/MLS/MLS_resistance_ABC_efflux_pumps/MSRA,0,0,0,0,0,0,0,0,44,50
MEG_6104/Drugs/Rifampin/Rifampin_resistant_beta_subunit_of_RNA_polymerase_RpoB/RPOB/RequiresSNPConfirmation,0,189,0,0,316,156,137,0,113,342
MEG_4095/Drugs/Fosfomycin/Fosfomycin_target_mutation/MURA/RequiresSNPConfirmation,48,124,44,68,427,303,76,204,94,342
MEG_4359/Multi_compound/Drug_and_biocide_resistance/Drug_and_biocide_RND_efflux_pumps/OQXB,12,0,0,0,214,54,0,8,10,24
MEG_7288/Multi_compound/Drug_and_biocide_resistance/Drug_and_biocide_RND_efflux_pumps/TTGB,0,0,0,0,177,0,0,0,0,121
MEG_6957/Metals/Tellurium_resistance/Tellurium_resistance_protein/TERC,0,0,0,0,50,21,0,0,0,42
MEG_7198/Drugs/Tetracyclines/Tetracycline_resistance_ribosomal_protection_proteins/TETS,15,0,0,0,37,0,0,24,24,29
MEG_7082/Drugs/Tetracyclines/Tetracycline_resistance_MFS_efflux_pumps/TETH,82,174,111,98,192,148,32,160,252,408
MEG_398/Metals/Arsenic_resistance/Arsenic_resistance_membrane_transporter/ACR3,0,0,0,42,100,66,42,128,96,74
MEG_7520/Drugs/Glycopeptides/VanM_type_regulator/VANSM,26,58,18,0,110,0,48,46,58,74
MEG_6701/Drugs/betalactams/Class_A_betalactamases/TEM,0,0,0,0,0,0,4,2,0,2
MEG_5784/Drugs/Lipopeptides/Colistin_resistant_mutant/PHOP/RequiresSNPConfirmation,0,0,10,0,74,0,16,16,0,36
MEG_8742/Drugs/betalactams/Class_B_betalactamases/YEM,0,0,0,0,0,0,0,0,12,16
MEG_7795/Biocides/Multi_biocide_resistance/Multi_biocide_RND_efflux_pump/VMEP,0,0,0,0,0,0,30,0,0,0
MEG_6747/Drugs/betalactams/Class_A_betalactamases/TEM,0,0,0,0,0,0,2,0,0,0
MEG_4203/Biocides/Paraquat_resistance/Paraquat_resistance_protein/NMPC,7,0,8,10,62,74,16,34,35,57
MEG_7047/Drugs/Tetracyclines/Tetracycline_resistance_MFS_efflux_pumps/TETB,94,164,93,90,179,136,148,232,198,286
MEG_4358/Multi_compound/Drug_and_biocide_resistance/Drug_and_biocide_RND_efflux_pumps/OQXB,0,0,0,0,28,12,0,6,0,0
MEG_4407/Drugs/betalactams/Class_D_betalactamases/OXA,0,0,0,0,0,0,0,0,14,0
MEG_7168/Drugs/Tetracyclines/Tetracycline_resistance_ribosomal_protection_proteins/TETO,0,0,0,0,0,0,0,2,0,0
MEG_1968/Drugs/betalactams/Class_C_betalactamases/CMY,0,0,0,0,0,8,0,0,0,0
MEG_3187/Drugs/Fluoroquinolones/Fluoroquinolone_resistant_DNA_topoisomerases/GYRA/RequiresSNPConfirmation,0,0,20,0,74,241,26,0,168,78
MEG_1615/Drugs/Phenicol/Chloramphenicol_acetyltransferases/CATB/RequiresSNPConfirmation,0,0,1,0,0,0,0,3,0,2
MEG_7250/Drugs/Mycobacterium_tuberculosis_specific_Drug/Para_aminosalicylic_acid_resistant_mutant/THYA/RequiresSNPConfirmation,53,96,65,71,274,86,68,78,59,205
MEG_3863/Metals/Mercury_resistance/Mercury_resistance_regulator/MERD,0,0,0,0,8,6,0,0,0,0
MEG_2680/Metals/Multi_metal_resistance/Multi_metal_resistance_protein/DSBA,0,0,0,0,10,2,0,0,0,6
MEG_5289/Drugs/betalactams/Class_A_betalactamases/OXY,0,0,0,0,2,0,0,0,0,0
MEG_3249/Drugs/Aminocoumarins/Aminocoumarin_resistant_DNA_topoisomerases/GYRBA/RequiresSNPConfirmation,0,0,0,0,186,0,0,116,0,0
MEG_5988/Drugs/Fluoroquinolones/Quinolone_resistance_protein_Qnr/QNRB,0,0,0,0,0,2,0,0,0,0
MEG_7868/Metals/Zinc_resistance/Zinc_resistance_regulator/ZUR,5,0,0,0,23,25,1,1,0,14
MEG_2936/Drugs/Sulfonamides/Sulfonamide_resistant_dihydropteroate_synthases/FOLP/RequiresSNPConfirmation,0,0,0,0,20,0,0,0,0,0
MEG_5794/Multi_compound/Drug_and_biocide_resistance/Drug_and_biocide_MATE_efflux_pumps/PMPM,0,0,0,0,48,0,156,0,0,62
MEG_6147/Drugs/Aminoglycosides/Aminoglycoside_resistant_16S_ribosomal_subunit_protein/RRSH/RequiresSNPConfirmation,2532,3219,1996,2275,5736,3621,2666,5452,5732,9080
MEG_3515/Multi_compound/Drug_and_biocide_resistance/Drug_and_biocide_SMR_efflux_pumps/KPNF,8,0,4,0,84,24,0,8,58,4
MEG_1081/Drugs/Aminoglycosides/Aminoglycoside_O_phosphotransferases/APH3_PRIME,0,0,0,0,0,0,0,0,14,0
MEG_4665/Drugs/betalactams/Class_D_betalactamases/OXA,0,0,0,0,0,0,0,0,22,0
MEG_6636/Drugs/Sulfonamides/Sulfonamide_resistant_dihydropteroate_synthases/SULII,32,33,31,22,47,43,13,33,80,193
MEG_425/Drugs/betalactams/Class_C_betalactamases/ACT,0,0,0,0,0,3,0,0,0,0
MEG_7625/Drugs/MLS/Streptogramin_A_O_acetyltransferase/VATD,0,0,0,0,0,0,0,0,0,12
MEG_7310/Drugs/Elfamycins/EF_Tu_inhibition/TUFAB/RequiresSNPConfirmation,1570,2138,1873,1479,2712,1995,1987,3696,2472,5176
MEG_2785/Drugs/MLS/23S_rRNA_methyltransferases/ERMA,0,0,0,0,0,0,0,0,0,24
MEG_8650/Multi_compound/Drug_and_biocide_resistance/Drug_and_biocide_SMR_efflux_pumps/QACH,0,37,0,0,0,52,38,36,0,74
MEG_1084/Drugs/Aminoglycosides/Aminoglycoside_O_phosphotransferases/APH6,10,22,7,109,96,25,35,7,29,37
MEG_2671/Metals/Multi_metal_resistance/Multi_metal_resistance_protein/DSBA,0,0,0,0,6,5,0,2,0,0
MEG_279/Drugs/Aminoglycosides/Aminoglycoside_N_acetyltransferases/AAC6_PRIME,0,0,0,0,0,36,0,0,66,0
MEG_1655/Metals/Chromium_resistance/Chromate_ABC_efflux_pump/CEUE,0,0,0,0,0,0,0,42,0,0
MEG_8680/Drugs/Aminoglycosides/Aminoglycoside_resistant_16S_ribosomal_subunit_protein/RRS/RequiresSNPConfirmation,887,1102,569,857,2382,1123,1061,1414,1187,2524
MEG_2998/Drugs/Fosfomycin/Fosfomycin_thiol_transferases/FOSA,0,0,0,0,43,3,0,0,0,0
MEG_2729/Multi_compound/Drug_and_biocide_resistance/Drug_and_biocide_MFS_efflux_pumps/EMRD,20,8,3,0,166,143,0,46,0,64
MEG_730/Drugs/betalactams/Penicillin_binding_protein/AMPH,9,4,10,10,345,86,0,16,201,49
MEG_761/Drugs/Aminoglycosides/Aminoglycoside_O_nucleotidyltransferases/ANT3_DPRIME,0,31,4,0,0,4,7,25,2,0
MEG_1010/Drugs/Aminoglycosides/Aminoglycoside_O_phosphotransferases/APH2_DPRIME,0,0,0,0,0,0,0,114,0,0
MEG_3227/Drugs/Fluoroquinolones/Fluoroquinolone_resistant_DNA_topoisomerases/GYRA/RequiresSNPConfirmation,0,0,0,0,31,18,0,0,0,0
MEG_6899/Drugs/betalactams/Class_A_betalactamases/TEM,0,0,0,0,0,2,0,0,0,0
MEG_3084/Biocides/QACs_resistance/QAC_resistant_protein_UDP_glucose_4_epimerase/GALE,0,0,0,0,0,0,0,0,18,0
MEG_3750/Multi_compound/Drug_and_biocide_and_metal_resistance/Drug_and_biocide_and_metal_RND_efflux_pumps/MDTC,15,0,21,0,373,210,62,72,847,167
MEG_6603/Drugs/Sulfonamides/Sulfonamide_resistant_dihydropteroate_synthases/SULI,0,2,0,0,0,0,0,2,0,2
MEG_2994/Drugs/Fosfomycin/Fosfomycin_thiol_transferases/FOSA,0,0,0,0,28,27,0,4,0,0
MEG_2650/Metals/Multi_metal_resistance/Multi_metal_resistance_protein/DMEF,0,0,0,0,86,0,0,0,0,85
MEG_743/Drugs/Aminoglycosides/Aminoglycoside_O_nucleotidyltransferases/ANT2_DPRIME,0,0,0,0,0,0,0,0,2,0
MEG_1730/Drugs/Lipopeptides/Daptomycin_resistant_mutant/CLS/RequiresSNPConfirmation,0,0,0,0,0,0,0,0,0,110
MEG_1598/Drugs/Phenicol/Chloramphenicol_acetyltransferases/CATB/RequiresSNPConfirmation,0,1,2,0,0,0,0,0,0,0
MEG_6173/Multi_compound/Drug_and_biocide_resistance/Drug_and_biocide_RND_efflux_pumps/SDEB,71,0,36,0,279,128,0,107,59,222
MEG_7129/Drugs/Tetracyclines/Tetracycline_resistance_ribosomal_protection_proteins/TETM,37,48,22,46,98,58,51,42,78,83
MEG_6662/Drugs/betalactams/Class_A_betalactamases/TEM,0,0,0,0,0,4,0,0,0,0
MEG_2118/Multi_compound/Drug_and_biocide_resistance/Drug_and_biocide_RND_efflux_regulator/CPXAR,0,0,2,0,36,28,0,2,27,44
MEG_5330/Drugs/Fluoroquinolones/Fluoroquinolone_resistant_DNA_topoisomerases/PARC/RequiresSNPConfirmation,0,0,0,0,104,0,126,136,134,282
MEG_7070/Drugs/Tetracyclines/Tetracycline_resistance_MFS_efflux_pumps/TETD,445,943,469,526,861,784,735,1360,837,1653
MEG_1623/Drugs/Phenicol/Chloramphenicol_acetyltransferases/CATB/RequiresSNPConfirmation,0,0,0,0,0,0,0,18,0,10
MEG_2378/Drugs/betalactams/Class_A_betalactamases/CTX,91,0,0,5,90,1597,0,0,708,22
MEG_3193/Drugs/Fluoroquinolones/Fluoroquinolone_resistant_DNA_topoisomerases/GYRA/RequiresSNPConfirmation,0,0,50,0,0,0,0,0,0,0
MEG_6154/Metals/Multi_metal_resistance/Multi_metal_resistance_protein/RUVBM,10,6,0,0,56,8,0,16,0,21
MEG_3202/Drugs/Fluoroquinolones/Fluoroquinolone_resistant_DNA_topoisomerases/GYRA/RequiresSNPConfirmation,61,0,0,0,95,0,70,122,0,181
MEG_1/Drugs/Aminoglycosides/Aminoglycoside_resistant_16S_ribosomal_subunit_protein/A16S/RequiresSNPConfirmation,1170,1127,549,980,3921,1173,948,1749,1693,3203
MEG_2867/Biocides/Acid_resistance/Acid_resistance_regulator/EVGA,0,0,0,0,13,36,5,0,0,28
MEG_5980/Drugs/Fluoroquinolones/Quinolone_resistance_protein_Qnr/QNRB,0,0,0,0,0,61,0,0,0,0
MEG_1969/Drugs/betalactams/Class_C_betalactamases/CMY,0,0,0,0,0,0,0,0,0,4
MEG_8089/Drugs/Fosfomycin/Fosfomycin_thiol_transferases/FOSA,0,0,0,0,1,0,0,4,0,0
MEG_479/Drugs/betalactams/Class_C_betalactamases/ACT,0,0,0,0,4,0,6,2,0,0
MEG_8714/Drugs/Tetracyclines/Tetracycline_resistance_MFS_efflux_pumps/TET63,0,0,0,0,88,0,0,0,0,120
MEG_2772/Drugs/MLS/23S_rRNA_methyltransferases/ERM,0,0,0,0,74,32,44,64,128,110
MEG_7026/Drugs/Tetracyclines/Tetracycline_resistance_MFS_efflux_pumps/TETA,7,21,6,4,4,0,2,3,0,8
MEG_3796/Drugs/betalactams/Penicillin_binding_protein/MECB,0,0,0,0,52,0,0,0,0,0
MEG_6119/Drugs/Rifampin/Rifampin_resistant_beta_subunit_of_RNA_polymerase_RpoB/RPOB/RequiresSNPConfirmation,0,127,0,96,240,64,139,266,158,397
MEG_3759/Multi_compound/Drug_and_biocide_resistance/Drug_and_biocide_MATE_efflux_pumps/MDTK,0,0,14,0,92,118,0,0,22,84
MEG_5364/Drugs/Aminocoumarins/Aminocoumarin_resistant_DNA_topoisomerases/PARE/RequiresSNPConfirmation,0,0,0,0,132,0,0,0,0,128
MEG_6091/Drugs/Rifampin/Rifampin_resistant_beta_subunit_of_RNA_polymerase_RpoB/RPOB/RequiresSNPConfirmation,0,0,0,0,124,0,0,0,0,0
MEG_3865/Metals/Mercury_resistance/Mercury_resistance_regulator/MERD,0,0,0,0,0,2,0,0,0,0
MEG_317/Drugs/Aminoglycosides/Aminoglycoside_N_acetyltransferases/AAC6_PRIME,0,0,0,0,0,0,0,0,6,0
MEG_3561/Drugs/betalactams/Class_A_betalactamases/LEN,0,0,0,0,6,0,0,0,0,0
MEG_421/Drugs/betalactams/Class_C_betalactamases/ACT,0,0,0,0,2,0,2,20,0,0
MEG_6546/Biocides/Peroxide_resistance/peroxide_resistance_protein/SODB,0,0,0,0,61,21,0,0,0,55
MEG_4515/Drugs/betalactams/Class_D_betalactamases/OXA,0,0,0,12,0,0,0,0,0,0
MEG_1173/Metals/Arsenic_resistance/Arsenic_resistance_regulator/ARSR,5,0,3,0,27,58,0,0,0,0
MEG_6891/Drugs/betalactams/Class_A_betalactamases/TEM,0,0,0,0,2,0,2,4,2,0
MEG_7111/Drugs/Tetracyclines/Tetracycline_resistance_ribosomal_protection_proteins/TETM,69,78,56,96,164,128,127,130,91,219
MEG_6110/Drugs/Rifampin/Rifampin_resistant_beta_subunit_of_RNA_polymerase_RpoB/RPOB/RequiresSNPConfirmation,86,92,83,89,176,108,94,174,177,201
MEG_4168/Metals/Nickel_resistance/Nickel_ABC_efflux_pumps/NIKB,21,0,5,0,159,101,0,0,0,0
MEG_4345/Multi_compound/Drug_and_biocide_resistance/Drug_and_biocide_RND_efflux_pumps/OQXB,0,0,8,8,127,43,18,30,0,26
MEG_7891/Drugs/betalactams/Class_C_betalactamases/ACT,0,0,0,0,2,0,0,0,0,12
MEG_6761/Drugs/betalactams/Class_A_betalactamases/TEM,0,0,0,0,0,0,2,0,0,0
MEG_3207/Drugs/Fluoroquinolones/Fluoroquinolone_resistant_DNA_topoisomerases/GYRA/RequiresSNPConfirmation,0,0,0,0,0,0,0,40,0,55
MEG_6916/Drugs/betalactams/Class_A_betalactamases/TEM,0,0,0,0,0,0,0,2,0,0
MEG_2964/Drugs/Sulfonamides/Sulfonamide_resistant_dihydropteroate_synthases/FOLP/RequiresSNPConfirmation,0,7,2,0,0,0,1,3,4,14
MEG_3576/Drugs/betalactams/Class_A_betalactamases/LEN,0,0,0,0,2,0,0,0,0,0
MEG_5208/Drugs/betalactams/Class_D_betalactamases/OXA,0,0,0,0,0,0,0,11,0,0
MEG_6803/Drugs/betalactams/Class_A_betalactamases/TEM,0,0,0,0,0,0,4,0,0,2
MEG_5339/Drugs/Fluoroquinolones/Fluoroquinolone_resistant_DNA_topoisomerases/PARC/RequiresSNPConfirmation,0,100,0,0,84,0,86,156,118,200
MEG_6505/Metals/Multi_metal_resistance/Multi_metal_RND_efflux_pumps/SILF,0,0,0,0,0,9,0,0,0,0
MEG_3068/Drugs/Fusidic_acid/Ribosomal_zinc_binding_protein/FUSC,0,8,12,0,0,0,0,18,0,24
MEG_7147/Drugs/Tetracyclines/Tetracycline_resistance_ribosomal_protection_proteins/TETM,0,0,0,8,0,14,15,22,32,35
MEG_3657/Drugs/Multi_drug_resistance/Multi_drug_ABC_efflux_pumps/MACA,0,0,0,0,0,0,0,58,0,0
MEG_3186/Drugs/Fluoroquinolones/Fluoroquinolone_resistant_DNA_topoisomerases/GYRA/RequiresSNPConfirmation,0,0,0,0,0,0,0,0,23,69
MEG_6135/Drugs/Rifampin/Rifampin_resistant_beta_subunit_of_RNA_polymerase_RpoB/RPOB/RequiresSNPConfirmation,45,39,0,24,204,290,43,75,304,133
MEG_8244/Drugs/MLS/MLS_resistance_MFS_efflux_pumps/MEFF,0,0,0,0,0,0,0,0,0,24
MEG_4513/Drugs/betalactams/Class_D_betalactamases/OXA,0,0,0,0,0,0,0,0,0,8
MEG_2891/Metals/Multi_metal_resistance/Multi_metal_ABC_efflux_pumps/FBPC,18,0,0,0,0,0,0,0,0,46
MEG_1207/Drugs/betalactams/Class_A_betalactamases/BCL,0,0,0,0,0,0,0,0,0,66
MEG_949/Drugs/Aminoglycosides/Aminoglycoside_O_nucleotidyltransferases/ANT3_DPRIME,0,0,0,0,0,0,0,0,0,6
MEG_3233/Drugs/Fluoroquinolones/Fluoroquinolone_resistant_DNA_topoisomerases/GYRA/RequiresSNPConfirmation,0,0,0,0,46,0,0,0,0,50
