gene_accession,CAC10u_t2_M_AB,CAC09e_t2_M_AB,CAC10e_t2_M_AB,CAC08e_t2_M_MB,CAC08u_t2_M_MB,CAC07e_t2_M_MB,CAC06u_t2_M_AB,CAC09u_t2_M_AB,CAC07u_t2_M_MB,CAC06e_t2_M_AB
MEG_2787/Drugs/MLS/23S_rRNA_methyltransferases/ERMA,0,0,0,0,4,0,0,12,0,0
MEG_404/Multi-compound/Drug_and_biocide_and_metal_resistance/Drug_and_biocide_and_metal_RND_efflux_pumps/ACRD,0,21,41,22,0,0,0,0,37,55
MEG_7615/Drugs/Glycopeptides/VanA-type_accessory_protein/VANZA,0,0,0,0,0,0,0,0,6,6
MEG_2788/Drugs/MLS/23S_rRNA_methyltransferases/ERMB,0,0,0,0,0,2,2,0,2,4
MEG_2873/Biocides/Phenolic_compound_resistance/Triclosan-resistant_mutation/FABG/RequiresSNPConfirmation,69,40,66,29,38,40,30,16,58,40
MEG_6727/Drugs/betalactams/Class_A_betalactamases/TEM,0,0,0,4,0,0,0,0,0,0
MEG_4223/Drugs/Oxazolidinone/Oxazolidinone-resistant_23S_rRNA_mutation/O23S/RequiresSNPConfirmation,4367,4242,7204,4060,6872,7381,7651,4800,5581,5211
MEG_7125/Drugs/Tetracyclines/Tetracycline_resistance_ribosomal_protection_proteins/TETM,45,32,60,63,74,70,27,36,55,5
MEG_7018/Drugs/Tetracyclines/Tetracycline_resistance_MFS_efflux_pumps/TETA,0,0,2,4,2,2,4,0,4,0
MEG_376/Multi-compound/Drug_and_biocide_resistance/Drug_and_biocide_SMR_efflux_pumps/ABES,0,0,0,0,0,0,0,0,0,4
MEG_7974/Drugs/betalactams/Class_C_betalactamase_regulator/AMPCR/RequiresSNPConfirmation,0,2,0,2,0,0,0,0,0,0
MEG_2736/Multi-compound/Drug_and_biocide_resistance/Drug_and_biocide_MFS_efflux_pumps/EMRY,0,0,0,10,0,0,0,0,12,0
MEG_4101/Drugs/Multi-drug_resistance/Multi-drug_RND_efflux_pumps/MUXB,0,0,0,0,0,0,0,0,0,45
MEG_6507/Metals/Multi-metal_resistance/Multi-metal_RND_efflux_pumps/SILP,0,0,0,49,12,40,0,0,0,0
MEG_4061/Drugs/Multi-drug_resistance/Multi-drug_ABC_efflux_pumps/MSBA,0,26,40,45,0,20,45,0,44,32
MEG_8077/Multi-compound/Drug_and_biocide_resistance/Drug_and_biocide_ABC_efflux_pumps/EFRA,0,0,0,0,0,49,0,0,0,90
MEG_2937/Drugs/Sulfonamides/Sulfonamide-resistant_dihydropteroate_synthases/FOLP/RequiresSNPConfirmation,0,0,0,0,38,0,0,0,0,38
MEG_951/Drugs/Aminoglycosides/Aminoglycoside_O-nucleotidyltransferases/ANT3-DPRIME,0,0,0,0,3,1,0,0,6,0
MEG_2952/Drugs/Sulfonamides/Sulfonamide-resistant_dihydropteroate_synthases/FOLP/RequiresSNPConfirmation,0,13,30,26,0,0,16,0,27,36
MEG_4211/Drugs/Multi-drug_resistance/Multi-drug_MFS_efflux_pumps/NORBD,0,0,0,0,0,54,0,0,0,0
MEG_6614/Drugs/Sulfonamides/Sulfonamide-resistant_dihydropteroate_synthases/SULI,0,4,0,4,0,0,0,2,1,0
MEG_5816/Metals/Arsenic_resistance/Arsenic_resistance_protein/PSTS,0,16,10,20,0,4,0,0,39,0
MEG_6577/Biocides/Multi-biocide_resistance/Multi-biocide_SMR_efflux_pump/SUGE,0,2,0,4,0,5,0,0,4,0
MEG_5287/Drugs/betalactams/Class_A_betalactamases/OXY,0,0,0,2,0,0,0,0,0,0
MEG_5361/Drugs/Fluoroquinolones/Fluoroquinolone-resistant_DNA_topoisomerases/PARC/RequiresSNPConfirmation,0,0,4,6,0,6,6,0,18,21
MEG_949/Drugs/Aminoglycosides/Aminoglycoside_O-nucleotidyltransferases/ANT3-DPRIME,0,0,0,0,4,1,0,0,10,0
MEG_8071/Drugs/Trimethoprim/Dihydrofolate_reductase/DFRE,0,0,0,0,6,0,0,0,0,0
MEG_2724/Multi-compound/Drug_and_biocide_resistance/Drug_and_biocide_MFS_efflux_pumps/EMRB,0,18,13,26,0,5,0,0,17,23
MEG_6763/Drugs/betalactams/Class_A_betalactamases/TEM,0,0,0,2,0,0,0,0,0,0
MEG_1602/Drugs/Phenicol/Chloramphenicol_acetyltransferases/CATB/RequiresSNPConfirmation,0,6,0,0,0,0,0,2,0,0
MEG_4285/Drugs/betalactams/Mutant_porin_proteins/OMPD,58,0,0,0,50,36,34,0,40,62
MEG_2887/Multi-compound/Drug_and_biocide_resistance/Drug_and_biocide_MFS_efflux_regulator/FARR,0,0,0,0,0,12,0,0,0,0
MEG_3079/Biocides/Acid_resistance/Acid_resistance_protein/GADC,0,0,0,8,0,10,0,0,12,0
MEG_7313/Drugs/Elfamycins/EF-Tu_inhibition/TUFAB/RequiresSNPConfirmation,82,92,134,91,142,164,127,119,136,146
MEG_2842/Drugs/MLS/23S_rRNA_methyltransferases/ERMQ,0,0,0,0,0,0,0,0,0,30
MEG_1095/Drugs/Aminoglycosides/Aminoglycoside_O-phosphotransferases/APH6,18,29,15,9,25,9,16,36,7,5
MEG_2446/Metals/Multi-metal_resistance/Multi-metal_RND_efflux_pumps/CUSA,0,37,0,36,56,58,18,0,46,0
MEG_6676/Drugs/betalactams/Class_A_betalactamases/TEM,0,0,0,0,2,0,0,0,0,0
MEG_6632/Drugs/Sulfonamides/Sulfonamide-resistant_dihydropteroate_synthases/SULII,6,11,26,7,94,59,27,44,43,10
MEG_7607/Drugs/Glycopeptides/VanF-type_accessory_protein/VANYF,0,0,0,0,0,0,24,0,0,0
MEG_6743/Drugs/betalactams/Class_A_betalactamases/TEM,0,0,0,0,2,0,0,0,0,0
MEG_1278/Drugs/betalactams/Class_C_betalactamases/BLAEC,0,0,0,0,0,2,0,0,0,0
MEG_1161/Metals/Multi-metal_resistance/Multi-metal_resistance_protein/ARSCM,0,0,0,1,0,4,0,0,2,0
MEG_6582/Drugs/Sulfonamides/Sulfonamide-resistant_dihydropteroate_synthases/SULI,4,8,13,2,50,21,12,11,16,4
MEG_7853/Metals/Multi-metal_resistance/Multi-metal_resistance_protein/ZNTA,0,32,0,42,32,26,0,0,59,0
MEG_2979/Drugs/betalactams/Class_A_betalactamases/FONA,0,0,0,0,0,0,0,0,0,9
MEG_5365/Drugs/Aminocoumarins/Aminocoumarin-resistant_DNA_topoisomerases/PARE/RequiresSNPConfirmation,0,12,19,13,0,22,0,0,41,17
MEG_493/Drugs/betalactams/Class_C_betalactamases/ACT,0,0,0,0,0,2,0,0,0,0
MEG_5383/Drugs/Aminocoumarins/Aminocoumarin-resistant_DNA_topoisomerases/PARE/RequiresSNPConfirmation,0,0,0,0,0,36,31,0,18,32
MEG_7172/Drugs/Tetracyclines/Tetracycline_resistance_ribosomal_protection_proteins/TETO,2,4,10,12,4,6,0,8,6,0
MEG_3756/Multi-compound/Drug_and_biocide_resistance/Drug_and_biocide_SMR_efflux_pumps/MDTI,0,4,0,5,0,1,0,0,4,0
MEG_7078/Drugs/Tetracyclines/Tetracycline_resistance_MFS_efflux_pumps/TETG,0,0,3,0,0,0,0,0,7,0
MEG_796/Drugs/Aminoglycosides/Aminoglycoside_O-nucleotidyltransferases/ANT3-DPRIME,0,0,0,0,2,0,0,0,0,0
MEG_8254/Drugs/MLS/Macrolide-resistant_23S_rRNA_mutation/MLS23S/RequiresSNPConfirmation,830,952,905,672,1315,1450,952,910,949,1261
MEG_1173/Metals/Arsenic_resistance/Arsenic_resistance_regulator/ARSR,0,6,0,6,0,6,0,0,0,0
MEG_7020/Drugs/Tetracyclines/Tetracycline_resistance_MFS_efflux_pumps/TETA,0,2,0,2,2,0,2,0,8,2
MEG_7854/Metals/Zinc_resistance/Zinc_resistance_regulator/ZNTR,0,8,0,11,0,2,0,0,9,0
MEG_2430/Drugs/betalactams/Class_A_betalactamases/CTX,0,0,0,0,0,6,0,0,0,205
MEG_4008/Metals/Multi-metal_resistance/Multi-metal_ABC_efflux_pumps/MODC,0,4,0,0,0,0,0,0,18,0
MEG_5817/Metals/Arsenic_resistance/Arsenic_resistance_protein/PSTS,0,10,6,7,4,12,0,0,24,15
MEG_6726/Drugs/betalactams/Class_A_betalactamases/TEM,0,4,0,2,0,0,0,0,0,0
MEG_7263/Biocides/Multi-biocide_resistance/Multi-biocide_RND_efflux_pump/TOLC,0,0,8,19,0,10,0,0,25,6
MEG_4175/Metals/Nickel_resistance/Nickel_ABC_efflux_regulator/NIKR,0,0,0,0,2,2,2,0,0,0
MEG_3748/Multi-compound/Drug_and_biocide_and_metal_resistance/Drug_and_biocide_and_metal_RND_efflux_pumps/MDTB,0,10,0,11,0,13,0,0,15,12
MEG_5752/Drugs/betalactams/Class_A_betalactamases/PENA,0,0,0,0,20,0,0,0,0,0
MEG_6801/Drugs/betalactams/Class_A_betalactamases/TEM,0,0,0,2,0,2,0,0,0,0
MEG_7213/Drugs/Tetracyclines/Tetracycline_resistance_ribosomal_protection_proteins/TETW,4,23,18,24,31,11,17,19,16,8
MEG_2721/Multi-compound/Drug_and_biocide_resistance/Drug_and_biocide_MFS_efflux_pumps/EMRA,0,9,7,7,0,5,10,0,0,0
MEG_6094/Drugs/Rifampin/Rifampin-resistant_beta-subunit_of_RNA_polymerase_RpoB/RPOB/RequiresSNPConfirmation,89,69,52,69,63,81,89,52,79,95
MEG_5342/Drugs/Fluoroquinolones/Fluoroquinolone-resistant_DNA_topoisomerases/PARC/RequiresSNPConfirmation,0,6,11,23,0,19,0,0,24,66
MEG_2867/Biocides/Acid_resistance/Acid_resistance_regulator/EVGA,0,0,0,13,0,0,0,0,7,0
MEG_786/Drugs/Aminoglycosides/Aminoglycoside_O-nucleotidyltransferases/ANT3-DPRIME,0,0,0,0,0,0,0,0,1,0
MEG_6531/Biocides/Multi-biocide_resistance/Multi-biocide_MFS_efflux_pump/SMFY,0,0,0,3,0,0,0,0,0,0
MEG_6751/Drugs/betalactams/Class_A_betalactamases/TEM,0,0,0,6,0,0,0,0,0,0
MEG_7122/Drugs/Tetracyclines/Tetracycline_resistance_ribosomal_protection_proteins/TETM,7,4,22,19,36,32,7,6,16,0
MEG_6628/Drugs/Sulfonamides/Sulfonamide-resistant_dihydropteroate_synthases/SULII,13,5,23,14,67,51,7,35,33,11
MEG_6113/Drugs/Rifampin/Rifampin-resistant_beta-subunit_of_RNA_polymerase_RpoB/RPOB/RequiresSNPConfirmation,2320,1935,2156,1376,1941,2592,2030,1452,1339,1418
MEG_3080/Biocides/Acid_resistance/Acid_resistance_regulator/GADE,0,0,0,2,0,2,0,0,9,0
MEG_2675/Metals/Multi-metal_resistance/Multi-metal_resistance_protein/DSBA,0,0,0,4,0,0,0,0,0,0
MEG_3872/Metals/Mercury_resistance/Mercury_resistance_protein/MERH,0,0,0,0,14,0,0,0,0,0
MEG_2870/Multi-compound/Drug_and_biocide_resistance/Drug_and_biocide_MFS_efflux_regulator/EVGS,0,4,0,64,0,6,0,0,0,0
MEG_2793/Drugs/MLS/23S_rRNA_methyltransferases/ERMB,0,0,4,2,2,2,12,0,13,10
MEG_3143/Drugs/Fosfomycin/Fosfomycin_target_mutation/GLPT/RequiresSNPConfirmation,24,0,0,0,12,0,66,0,0,32
MEG_5330/Drugs/Fluoroquinolones/Fluoroquinolone-resistant_DNA_topoisomerases/PARC/RequiresSNPConfirmation,0,0,0,0,0,0,0,0,0,42
MEG_7577/Drugs/Glycopeptides/VanC-type_resistance_protein/VANXYC,0,6,0,0,0,0,0,0,0,0
MEG_3750/Multi-compound/Drug_and_biocide_and_metal_resistance/Drug_and_biocide_and_metal_RND_efflux_pumps/MDTC,0,0,15,23,0,13,0,0,29,87
MEG_6837/Drugs/betalactams/Class_A_betalactamases/TEM,0,0,0,2,0,2,0,0,0,0
MEG_9/Drugs/Aminoglycosides/Aminoglycoside-resistant_16S_ribosomal_subunit_protein/A16S/RequiresSNPConfirmation,606,602,1009,595,956,824,1244,740,791,900
MEG_4345/Multi-compound/Drug_and_biocide_resistance/Drug_and_biocide_RND_efflux_pumps/OQXB,0,0,0,12,0,14,12,0,10,0
MEG_1000/Drugs/Aminoglycosides/Aminoglycoside_O-nucleotidyltransferases/ANT6,18,0,0,0,0,0,0,0,0,0
MEG_6115/Drugs/Rifampin/Rifampin-resistant_beta-subunit_of_RNA_polymerase_RpoB/RPOB/RequiresSNPConfirmation,0,72,91,0,0,0,0,0,0,0
MEG_7194/Drugs/Tetracyclines/Tetracycline_transcriptional_repressor/TETR/RequiresSNPConfirmation,86,229,146,129,750,541,93,246,353,59
MEG_6102/Drugs/Rifampin/Rifampin-resistant_beta-subunit_of_RNA_polymerase_RpoB/RPOB/RequiresSNPConfirmation,39,51,87,68,60,66,53,68,73,57
MEG_7066/Drugs/Tetracyclines/Tetracycline_resistance_MFS_efflux_pumps/TETC,26,16,12,15,16,46,28,14,26,42
MEG_8688/Drugs/Multi-drug_resistance/Multi-drug_ABC_efflux_pumps/SALB,0,0,114,0,72,0,50,0,60,56
MEG_1055/Drugs/Aminoglycosides/Aminoglycoside_O-phosphotransferases/APH3-DPRIME,6,11,9,1,17,9,4,8,14,0
MEG_7584/Drugs/Glycopeptides/VanC-type_resistance_protein/VANXYC,0,0,0,0,0,0,28,0,0,0
MEG_1195/Multi-compound/Drug_and_biocide_and_metal_resistance/Drug_and_biocide_and_metal_RND_efflux_regulator/BAES,0,9,0,10,0,16,0,0,16,0
MEG_7052/Drugs/Tetracyclines/Tetracycline_resistance_MFS_efflux_pumps/TETB,348,331,345,215,307,296,235,300,210,204
MEG_7227/Drugs/Tetracyclines/Tetracycline_resistance_ribosomal_protection_proteins/TETW,0,0,8,0,0,5,0,8,0,0
MEG_1151/Metals/Multi-metal_resistance/Multi-metal_resistance_protein/ARSBM,0,0,0,17,0,42,0,0,0,0
MEG_3020/Drugs/Fosfomycin/Fosfomycin_thiol_transferases/FOSE,0,0,0,0,0,0,0,0,0,4
MEG_6964/Drugs/Tetracyclines/Tetracycline-resistant_16S_ribosomal_subunit_protein/TET16S/RequiresSNPConfirmation,2221,2258,4289,2472,3890,4179,4350,2700,3079,2984
MEG_4027/Drugs/MLS/Macrolide_phosphotransferases/MPH,0,0,0,0,0,0,0,0,0,12
MEG_8445/Drugs/Fluoroquinolones/Fluoroquinolone-resistant_DNA_topoisomerases/PARC/RequiresSNPConfirmation,0,12,0,14,30,9,0,0,12,0
MEG_4011/Metals/Multi-metal_resistance/Multi-metal_ABC_efflux_pumps/MODC,0,0,0,0,36,0,0,0,0,0
MEG_7812/Metals/Iron_resistance/Iron_resistance_protein/YBTQ,0,0,0,5,0,0,0,0,23,0
MEG_7196/Drugs/Tetracyclines/Tetracycline_resistance_MFS_efflux_regulator/TETRM/RequiresSNPConfirmation,1520,1492,1682,1098,1533,1411,1143,1306,983,862
MEG_7267/Biocides/Multi-biocide_resistance/Multi-biocide_RND_efflux_pump/TOLC,0,6,0,7,0,0,10,0,11,6
MEG_3028/Drugs/Fosfomycin/Fosfomycin_thiol_transferases/FOSX,0,0,0,0,0,0,20,0,0,14
MEG_4095/Drugs/Fosfomycin/Fosfomycin_target_mutation/MURA/RequiresSNPConfirmation,47,59,44,74,70,94,58,80,95,40
MEG_7115/Drugs/Tetracyclines/Tetracycline_resistance_ribosomal_protection_proteins/TETM,75,54,100,124,157,140,61,67,134,25
MEG_4344/Multi-compound/Drug_and_biocide_resistance/Drug_and_biocide_RND_efflux_pumps/OQXB,0,0,0,0,0,0,0,0,4,0
MEG_2876/Biocides/Phenolic_compound_resistance/Phenolic_resistance_protein/FABK,26,0,0,0,0,0,0,0,0,0
MEG_1114/Drugs/Multi-drug_resistance/MDR_regulator/ARLR,0,0,0,0,10,0,0,0,0,0
MEG_6123/Drugs/Rifampin/Rifampin-resistant_beta-subunit_of_RNA_polymerase_RpoB/RPOB/RequiresSNPConfirmation,109,105,86,94,90,128,82,68,153,98
MEG_6096/Drugs/Rifampin/Rifampin-resistant_beta-subunit_of_RNA_polymerase_RpoB/RPOB/RequiresSNPConfirmation,0,0,0,0,41,0,25,0,0,45
MEG_2452/Metals/Multi-metal_resistance/Multi-metal_RND_efflux_regulator/CUSR,0,7,0,0,0,11,0,0,12,0
MEG_3184/Drugs/Fluoroquinolones/Fluoroquinolone-resistant_DNA_topoisomerases/GYRA/RequiresSNPConfirmation,162,133,198,108,149,230,186,194,121,129
MEG_6145/Drugs/Aminoglycosides/Aminoglycoside-resistant_16S_ribosomal_subunit_protein/RRSA/RequiresSNPConfirmation,576,560,968,615,994,917,1100,685,800,943
MEG_5341/Drugs/Fluoroquinolones/Fluoroquinolone-resistant_DNA_topoisomerases/PARC/RequiresSNPConfirmation,0,0,0,0,43,0,76,0,0,0
MEG_6114/Drugs/Rifampin/Rifampin-resistant_beta-subunit_of_RNA_polymerase_RpoB/RPOB/RequiresSNPConfirmation,191,128,101,147,156,336,155,117,107,133
MEG_6586/Drugs/Sulfonamides/Sulfonamide-resistant_dihydropteroate_synthases/SULI,0,0,2,4,0,0,0,0,0,0
MEG_3175/Drugs/Lipopeptides/Daptomycin-resistant_mutant/GSHF/RequiresSNPConfirmation,0,0,0,0,0,0,60,0,0,0
MEG_2701/Biocides/Acid_resistance/Acid_resistance_protein/EEFA,0,6,15,12,0,6,0,0,45,0
MEG_8690/Drugs/Multi-drug_resistance/Multi-drug_ABC_efflux_pumps/SALD,0,76,0,0,0,0,0,0,54,58
MEG_7024/Drugs/Tetracyclines/Tetracycline_resistance_MFS_efflux_pumps/TETA,0,0,2,10,21,4,7,0,6,0
MEG_6630/Drugs/Sulfonamides/Sulfonamide-resistant_dihydropteroate_synthases/SULII,13,8,15,4,63,29,15,33,14,8
MEG_7145/Drugs/Tetracyclines/Tetracycline_resistance_ribosomal_protection_proteins/TETM,35,43,100,96,107,128,43,60,123,33
MEG_6941/Drugs/betalactams/Class_A_betalactamases/TEM,0,0,0,4,0,0,0,0,0,0
MEG_7111/Drugs/Tetracyclines/Tetracycline_resistance_ribosomal_protection_proteins/TETM,34,34,66,55,87,95,24,43,83,8
MEG_7900/Drugs/betalactams/Class_C_betalactamases/ACT,0,0,0,0,0,1,0,0,0,0
MEG_6598/Drugs/Sulfonamides/Sulfonamide-resistant_dihydropteroate_synthases/SULI,0,0,0,6,0,0,0,0,2,0
MEG_1001/Drugs/Aminoglycosides/Aminoglycoside_O-nucleotidyltransferases/ANT6,0,0,0,0,48,5,136,11,84,122
MEG_5392/Drugs/Aminocoumarins/Aminocoumarin-resistant_DNA_topoisomerases/PARE/RequiresSNPConfirmation,51,46,99,0,57,83,119,113,63,38
MEG_3902/Multi-compound/Drug_and_biocide_resistance/Drug_and_biocide_RND_efflux_pumps/MEXB,0,0,0,0,12,0,0,0,4,0
MEG_5339/Drugs/Fluoroquinolones/Fluoroquinolone-resistant_DNA_topoisomerases/PARC/RequiresSNPConfirmation,0,0,0,0,0,0,56,0,0,0
MEG_1144/Metals/Multi-metal_resistance/Multi-metal_resistance_protein/ARSA,0,0,0,13,0,0,0,0,8,0
MEG_3180/Drugs/Fluoroquinolones/Fluoroquinolone-resistant_DNA_topoisomerases/GYRA/RequiresSNPConfirmation,0,0,58,45,59,0,86,50,0,49
MEG_3946/Metals/Multi-metal_resistance/Multi-metal_resistance_regulator/MGTA,0,0,20,28,0,18,0,0,55,0
MEG_3209/Drugs/Fluoroquinolones/Fluoroquinolone-resistant_DNA_topoisomerases/GYRA/RequiresSNPConfirmation,57,94,39,102,70,217,48,82,58,70
MEG_6626/Drugs/Sulfonamides/Sulfonamide-resistant_dihydropteroate_synthases/SULII,8,28,24,10,63,46,10,40,28,18
MEG_7217/Drugs/Tetracyclines/Tetracycline_resistance_ribosomal_protection_proteins/TETW,40,34,47,56,70,34,40,34,52,30
MEG_6742/Drugs/betalactams/Class_A_betalactamases/TEM,0,0,0,4,0,0,0,0,0,0
MEG_7312/Drugs/Elfamycins/EF-Tu_inhibition/TUFAB/RequiresSNPConfirmation,2334,2266,2065,1491,2023,2668,1752,1823,1454,1546
MEG_2447/Metals/Multi-metal_resistance/Multi-metal_RND_efflux_pumps/CUSB,0,8,0,19,0,10,0,0,17,0
MEG_4288/Drugs/Multi-drug_resistance/MDR_mutant_porin_proteins/OMPF/RequiresSNPConfirmation,0,4,0,0,0,0,0,0,10,0
MEG_6867/Drugs/betalactams/Class_A_betalactamases/TEM,0,27,0,87,20,16,27,0,10,0
MEG_6868/Drugs/betalactams/Class_A_betalactamases/TEM,0,0,0,0,0,0,2,0,0,0
MEG_2985/Drugs/Fosfomycin/Fosfomycin_thiol_transferases/FOSA,0,0,0,0,0,2,0,0,0,0
MEG_1613/Drugs/Phenicol/Chloramphenicol_acetyltransferases/CATB/RequiresSNPConfirmation,0,14,6,0,0,0,0,4,0,0
MEG_2061/Metals/Copper_resistance/Copper_resistance_protein/COPK,6,6,6,4,0,0,0,18,0,4
MEG_7080/Drugs/Tetracyclines/Tetracycline_resistance_MFS_efflux_pumps/TETG,0,0,0,0,0,0,0,0,20,0
MEG_3986/Drugs/MLS/Macrolide-resistant_23S_rRNA_mutation/MLS23S/RequiresSNPConfirmation,744,672,794,519,890,661,730,1588,769,721
MEG_6634/Drugs/Sulfonamides/Sulfonamide-resistant_dihydropteroate_synthases/SULII,14,10,20,10,85,52,16,47,25,10
MEG_7833/Multi-compound/Biocide_and_metal_resistance/Biocide_and_metal_resistance_protein/YHCN,0,2,2,8,0,0,0,0,3,0
MEG_1045/Drugs/Aminoglycosides/Aminoglycoside_O-phosphotransferases/APH3-DPRIME,19,25,10,4,26,16,3,29,6,6
MEG_4006/Metals/Multi-metal_resistance/Multi-metal_ABC_efflux_pumps/MODB,0,0,0,3,0,1,0,0,2,0
MEG_6890/Drugs/betalactams/Class_A_betalactamases/TEM,0,0,0,2,0,0,0,0,0,0
MEG_1145/Metals/Arsenic_resistance/Arsenic_resistance_protein/ARSB,0,0,0,7,0,6,0,0,3,0
MEG_7186/Drugs/Tetracyclines/Tetracycline_transcriptional_repressor/TETR/RequiresSNPConfirmation,0,0,6,2,2,0,0,2,12,0
MEG_6934/Drugs/betalactams/Class_A_betalactamases/TEM,0,0,0,2,0,0,0,0,0,0
MEG_3006/Drugs/Fosfomycin/Fosfomycin_thiol_transferases/FOSB,0,0,0,6,0,0,0,0,0,0
MEG_1048/Drugs/Aminoglycosides/Aminoglycoside_O-phosphotransferases/APH3-DPRIME,0,0,0,0,0,0,0,0,0,8
MEG_5332/Drugs/Fluoroquinolones/Fluoroquinolone-resistant_DNA_topoisomerases/PARC/RequiresSNPConfirmation,0,57,28,24,0,44,12,0,47,0
MEG_7472/Drugs/Glycopeptides/VanC-type_regulator/VANRC,0,0,28,0,22,0,0,0,0,0
MEG_4005/Metals/Multi-metal_resistance/Multi-metal_ABC_efflux_pumps/MODB,0,3,0,2,0,6,1,0,0,0
MEG_1883/Drugs/betalactams/Class_C_betalactamases/CMY,0,0,0,6,0,0,0,0,0,0
MEG_6581/Drugs/Sulfonamides/Sulfonamide-resistant_dihydropteroate_synthases/SULI,0,5,2,0,0,0,0,0,0,0
MEG_5921/Drugs/Fluoroquinolones/Quinolone_resistance_protein_Qnr/QNRB,0,0,0,4,0,0,0,0,0,0
MEG_6913/Drugs/betalactams/Class_A_betalactamases/TEM,0,2,0,0,0,2,0,0,0,0
MEG_7245/Drugs/Tetracyclines/Tetracycline_resistance_MFS_efflux_pumps/TETY,42,0,0,0,35,132,0,79,0,76
MEG_6915/Drugs/betalactams/Class_A_betalactamases/TEM,0,0,0,2,0,0,0,0,0,0
MEG_7183/Drugs/Tetracyclines/Tetracycline_resistance_ribosomal_protection_proteins/TETQ,0,62,18,0,0,0,0,0,0,0
MEG_2691/Metals/Multi-metal_resistance/Multi-metal_resistance_protein/DSBC,0,0,0,0,0,0,5,0,5,0
MEG_7836/Multi-compound/Biocide_and_metal_resistance/Biocide_and_metal_resistance_protein/YJAA,0,0,0,0,0,0,0,0,8,0
MEG_1574/Drugs/Phenicol/Chloramphenicol_acetyltransferases/CATA,0,0,0,0,0,10,13,0,0,9
MEG_1642/Drugs/Lipopeptides/Daptomycin-resistant_mutant/CDSA/RequiresSNPConfirmation,0,0,0,0,0,0,20,0,0,0
MEG_6146/Drugs/Aminoglycosides/Aminoglycoside-resistant_16S_ribosomal_subunit_protein/RRSC/RequiresSNPConfirmation,2551,2001,2261,1695,2267,3081,2047,1975,1750,1695
MEG_2116/Multi-compound/Drug_and_biocide_resistance/Drug_and_biocide_RND_efflux_regulator/CPXAR,0,10,5,17,0,5,0,0,15,0
MEG_1277/Drugs/betalactams/Class_C_betalactamases/BLAEC,0,0,0,0,0,0,0,0,12,0
MEG_7235/Drugs/Tetracyclines/Tetracycline_resistance_ribosomal_protection_proteins/TETW,0,2,10,6,8,2,6,4,14,8
MEG_7/Drugs/Aminoglycosides/Aminoglycoside-resistant_16S_ribosomal_subunit_protein/A16S/RequiresSNPConfirmation,3039,3472,4043,2832,5008,6296,4268,3537,3997,4473
MEG_8446/Drugs/Fluoroquinolones/Fluoroquinolone-resistant_DNA_topoisomerases/PARC/RequiresSNPConfirmation,0,0,0,0,0,0,0,0,14,9
MEG_3293/Drugs/Lipopeptides/Colistin_phosphoethanolamine_transferase/ICR,0,0,0,0,0,0,12,0,0,0
MEG_8008/Drugs/betalactams/Class_A_betalactamases/BLAZ,0,0,0,0,0,0,30,0,0,0
MEG_1279/Drugs/betalactams/Class_C_betalactamases/BLAEC,0,0,0,8,0,0,0,0,0,0
MEG_6112/Drugs/Rifampin/Rifampin-resistant_beta-subunit_of_RNA_polymerase_RpoB/RPOB/RequiresSNPConfirmation,40,47,100,53,84,111,98,59,73,72
MEG_6082/Multi-compound/Drug_and_biocide_and_metal_resistance/Drug_and_biocide_and_metal_RND_efflux_pumps/ROBA,0,6,0,17,0,8,0,0,16,0
MEG_5963/Drugs/Fluoroquinolones/Quinolone_resistance_protein_Qnr/QNRB,0,0,0,2,0,0,0,0,0,0
MEG_5348/Drugs/Fluoroquinolones/Fluoroquinolone-resistant_DNA_topoisomerases/PARC/RequiresSNPConfirmation,0,26,10,24,0,8,0,34,24,16
MEG_3/Drugs/Aminoglycosides/Aminoglycoside-resistant_16S_ribosomal_subunit_protein/A16S/RequiresSNPConfirmation,459,503,803,548,732,759,888,487,628,649
MEG_6132/Drugs/Rifampin/Rifampin-resistant_beta-subunit_of_RNA_polymerase_RpoB/RPOB/RequiresSNPConfirmation,150,66,157,71,132,128,103,104,111,115
MEG_2118/Multi-compound/Drug_and_biocide_resistance/Drug_and_biocide_RND_efflux_regulator/CPXAR,0,0,5,9,0,2,2,0,14,3
MEG_8639/Drugs/Multi-drug_resistance/Multi-drug_ABC_efflux_pumps/POXT,40,0,0,0,0,0,0,0,0,0
MEG_2807/Drugs/MLS/23S_rRNA_methyltransferases/ERMB,0,0,2,0,0,0,0,0,2,1
MEG_3977/Drugs/MLS/Macrolide-resistant_23S_rRNA_mutation/MLS23S/RequiresSNPConfirmation,16137,13390,14655,9600,15292,18765,11896,13028,9684,11040
MEG_6594/Drugs/Sulfonamides/Sulfonamide-resistant_dihydropteroate_synthases/SULI,0,2,2,0,0,0,0,2,0,0
MEG_5826/Multi-compound/Drug_and_biocide_resistance/Drug_and_biocide_SMR_efflux_pumps/QACC,0,6,0,0,0,0,0,0,0,0
MEG_5777/Metals/Multi-metal_resistance/Multi-metal_resistance_protein/PGPA,0,0,0,0,1005,0,0,74,0,0
MEG_6960/Metals/Tellurium_resistance/Tellurium_resistance_protein/TERW,0,0,0,0,0,5,0,0,0,0
MEG_6714/Drugs/betalactams/Class_A_betalactamases/TEM,0,2,0,0,0,0,0,0,0,0
MEG_2315/Drugs/betalactams/Class_A_betalactamases/CTX,0,0,0,0,0,0,0,0,0,3
