gene_accession,APP01u_t2_M_QC,APP05e_t2_M_BC,APP02u_t2_M_QC,APP03u_t2_M_QC,APP03e_t2_M_QC,APP02e_t2_M_QC,APP05u_t2_M_BC,APP04u_t2_M_BC,APP04e_t2_M_BC,APP01e_t2_M_QC
MEG_3372/Drugs/betalactams/Class_B_betalactamases/IMP,0,20,0,0,0,0,0,0,0,0
MEG_3830/Drugs/MLS/MLS_resistance_MFS_efflux_pumps/MEFE,0,0,0,0,0,17,0,0,0,0
MEG_7866/Multi_compound/Biocide_and_metal_resistance/Biocide_and_metal_resistance_protein/ZUPT,0,0,0,0,0,12,0,0,0,0
MEG_8080/Drugs/Lipopeptides/Colistin_phosphoethanolamine_transferase/EPTB,6,0,10,10,0,0,0,0,0,0
MEG_3/Drugs/Aminoglycosides/Aminoglycoside_resistant_16S_ribosomal_subunit_protein/A16S/RequiresSNPConfirmation,1121,1597,1197,1706,1787,999,959,836,3338,1285
MEG_8253/Drugs/MLS/Macrolide_resistant_23S_rRNA_mutation/MLS23S/RequiresSNPConfirmation,528,1154,645,807,1175,385,656,329,961,324
MEG_7867/Metals/Zinc_resistance/Zinc_resistance_regulator/ZUR,2,0,0,0,0,0,0,0,0,0
MEG_2122/Multi_compound/Drug_and_biocide_resistance/Drug_and_biocide_RND_efflux_regulator/CPXAR,0,0,10,0,0,0,0,0,0,0
MEG_7271/Biocides/Phenolic_compound_resistance/Phenolic_RND_efflux_pump/TRIA,0,0,96,38,0,0,0,0,0,0
MEG_7392/Drugs/Glycopeptides/VanG_type_resistance_protein/VANG,0,0,0,0,0,0,0,16,0,0
MEG_2987/Drugs/Fosfomycin/Fosfomycin_thiol_transferases/FOSA,0,0,2,0,0,0,0,0,0,0
MEG_7187/Drugs/Tetracyclines/Tetracycline_transcriptional_repressor/TETR/RequiresSNPConfirmation,0,0,0,4,0,0,0,0,0,0
MEG_999/Drugs/Aminoglycosides/Aminoglycoside_O_nucleotidyltransferases/ANT6,0,0,8,0,0,0,0,0,0,0
MEG_7822/Metals/Multi_metal_resistance/Multi_metal_resistance_protein/YFEA,0,16,30,0,14,0,8,0,32,0
MEG_2119/Multi_compound/Drug_and_biocide_resistance/Drug_and_biocide_RND_efflux_regulator/CPXAR,10,0,0,0,0,6,0,0,0,0
MEG_7111/Drugs/Tetracyclines/Tetracycline_resistance_ribosomal_protection_proteins/TETM,96,153,88,197,167,159,154,79,375,226
MEG_1729/Drugs/Multi_drug_resistance/MDR_23S_ribosomal_RNA_methyltransferase/CLBD,0,0,14,0,0,0,0,0,0,0
MEG_4069/Drugs/MLS/MLS_resistance_ABC_efflux_pumps/MSRA,0,0,0,0,0,0,40,0,0,0
MEG_7233/Drugs/Tetracyclines/Tetracycline_resistance_ribosomal_protection_proteins/TETW,0,0,9,22,10,5,4,0,8,16
MEG_8074/Drugs/Sulfonamides/Sulfonamide_resistant_dihydropteroate_synthases/DHPS/RequiresSNPConfirmation,0,0,510,0,0,0,728,522,0,0
MEG_5813/Metals/Arsenic_resistance/Arsenic_resistance_protein/PSTA,0,0,13,18,0,0,0,0,0,0
MEG_1488/Metals/Multi_metal_resistance/Multi_metal_resistance_regulator/CADX,16,60,34,24,48,46,0,40,50,8
MEG_2479/Metals/Multi_metal_resistance/Multi_metal_RND_efflux_pumps/CZRA,0,0,68,0,0,0,0,0,0,0
MEG_6599/Drugs/Sulfonamides/Sulfonamide_resistant_dihydropteroate_synthases/SULI,2,0,0,0,0,0,0,0,0,0
MEG_3250/Drugs/Aminocoumarins/Aminocoumarin_resistant_DNA_topoisomerases/GYRBA/RequiresSNPConfirmation,30,44,0,23,0,28,13,13,0,15
MEG_6164/Drugs/Nucleosides/Streptothricin_acetyltransferase/SAT,0,0,8,0,0,0,0,0,0,0
MEG_6552/Multi_compound/Drug_and_biocide_and_metal_resistance/Drug_and_biocide_and_metal_resistance_regulator/SOXS/RequiresSNPConfirmation,0,0,0,8,0,0,0,0,0,0
MEG_1730/Drugs/Lipopeptides/Daptomycin_resistant_mutant/CLS/RequiresSNPConfirmation,0,0,54,0,0,0,56,32,0,0
MEG_7310/Drugs/Elfamycins/EF_Tu_inhibition/TUFAB/RequiresSNPConfirmation,1572,2035,2032,2347,2673,1438,1630,1216,3974,2203
MEG_2783/Drugs/MLS/23S_rRNA_methyltransferases/ERMA,0,0,0,0,0,0,24,0,0,0
MEG_4056/Drugs/Cationic_antimicrobial_peptides/Defensin_resistant_mprF/MPRF,0,0,62,0,0,48,84,28,0,0
MEG_2112/Drugs/betalactams/Class_B_betalactamases/CPS,0,0,30,0,0,18,0,0,0,0
MEG_7026/Drugs/Tetracyclines/Tetracycline_resistance_MFS_efflux_pumps/TETA,2,18,0,0,9,2,0,0,0,0
MEG_2083/Metals/Copper_resistance/Copper_resistance_regulator/COPZ,0,0,0,0,0,0,0,4,6,0
MEG_7046/Drugs/Tetracyclines/Tetracycline_resistance_MFS_efflux_pumps/TETB,96,141,177,141,201,99,100,108,275,157
MEG_2022/Metals/Copper_resistance/Copper_resistance_protein/COPA,0,0,20,0,0,0,0,0,0,0
MEG_2070/Metals/Copper_resistance/Copper_resistance_regulator/COPR,0,0,0,0,0,0,8,0,0,0
MEG_5846/Multi_compound/Drug_and_biocide_resistance/Drug_and_biocide_SMR_efflux_pumps/QACG,3,0,1,0,0,0,0,0,0,0
MEG_4000/Metals/Multi_metal_resistance/Multi_metal_resistance_protein/MNTR,0,0,8,0,0,0,0,0,2,0
MEG_2725/Multi_compound/Drug_and_biocide_resistance/Drug_and_biocide_MFS_efflux_pumps/EMRB,16,24,0,10,0,0,0,0,0,0
MEG_7823/Metals/Multi_metal_resistance/Multi_metal_resistance_protein/YFEA,0,0,22,0,16,0,0,8,0,14
MEG_3757/Multi_compound/Drug_and_biocide_resistance/Drug_and_biocide_SMR_efflux_pumps/MDTJ,0,0,0,0,0,6,0,0,0,0
MEG_7174/Drugs/Tetracyclines/Tetracycline_resistance_ribosomal_protection_proteins/TETO,16,12,19,18,18,10,6,0,19,4
MEG_1785/Drugs/Phenicol/Phenicol_resistance_MFS_efflux_pumps/CMX,0,0,0,0,0,0,3,0,0,0
MEG_7151/Drugs/Tetracyclines/Tetracycline_resistance_ribosomal_protection_proteins/TETO,3,5,4,2,6,0,0,0,6,0
MEG_2706/Multi_compound/Drug_and_biocide_resistance/Drug_and_biocide_ABC_efflux_pumps/EFRA,0,138,0,115,0,0,64,0,761,0
MEG_3610/Drugs/MLS/Lincosamide_nucleotidyltransferases/LNUC,0,0,8,0,0,0,10,0,0,0
MEG_6917/Drugs/betalactams/Class_A_betalactamases/TEM,0,0,0,0,0,0,0,0,2,0
MEG_3009/Drugs/Fosfomycin/Fosfomycin_thiol_transferases/FOSB,0,0,0,0,0,0,0,6,0,0
MEG_3589/Drugs/Lipopeptides/Daptomycin_resistant_mutant/LIAFSR/RequiresSNPConfirmation,0,0,100,0,0,0,68,62,0,0
MEG_7153/Drugs/Tetracyclines/Tetracycline_resistance_ribosomal_protection_proteins/TETO,3,5,7,7,4,0,0,6,0,4
MEG_3073/Drugs/Fusidic_acid/Fusidic_acid_esterases/FUSF,0,0,0,0,0,0,12,0,42,0
MEG_3062/Drugs/betalactams/Class_A_betalactamases/FTU,0,0,50,0,0,0,64,52,0,0
MEG_5323/Drugs/Pleuromutilin/Pleuromutilin_resistant_23S_rRNA_mutation/P23S/RequiresSNPConfirmation,0,0,0,0,0,0,0,0,97,0
MEG_7584/Drugs/Glycopeptides/VanC_type_resistance_protein/VANXYC,0,32,48,0,32,0,20,20,0,12
MEG_3252/Biocides/Multi_biocide_resistance/Multi_biocide_RND_efflux_pump/HASF,0,0,0,110,0,0,0,0,0,0
MEG_1245/Drugs/betalactams/Class_A_betalactamases/BLAA,0,0,18,0,0,0,16,22,0,0
MEG_2803/Drugs/MLS/23S_rRNA_methyltransferases/ERMB,2,2,2,14,14,2,18,0,24,11
MEG_3239/Drugs/Fluoroquinolones/Fluoroquinolone_resistant_DNA_topoisomerases/GYRB/RequiresSNPConfirmation,0,0,0,0,0,0,66,0,0,0
MEG_7254/Drugs/betalactams/Class_A_betalactamases/TLA,0,0,0,0,0,0,14,0,0,0
MEG_2664/Multi_compound/Biocide_and_metal_resistance/Biocide_and_metal_resistance_protein/DPSA,0,0,0,1,0,0,0,0,0,0
MEG_6094/Drugs/Rifampin/Rifampin_resistant_beta_subunit_of_RNA_polymerase_RpoB/RPOB/RequiresSNPConfirmation,59,52,54,116,109,33,0,66,77,66
MEG_5379/Drugs/Aminocoumarins/Aminocoumarin_resistant_DNA_topoisomerases/PARE/RequiresSNPConfirmation,22,37,0,40,41,0,0,0,80,22
MEG_3296/Drugs/Mupirocin/Mupirocin_resistant_isoleucyl_tRNA_synthetase/ILES/RequiresSNPConfirmation,161,450,376,377,373,156,202,178,644,209
MEG_7119/Drugs/Tetracyclines/Tetracycline_resistance_ribosomal_protection_proteins/TETM,22,41,40,45,32,11,21,7,68,27
MEG_8146/Drugs/Fluoroquinolones/Fluoroquinolone_resistant_DNA_topoisomerases/GYRA/RequiresSNPConfirmation,0,0,32,0,0,0,0,0,0,0
MEG_2514/Drugs/Trimethoprim/Dihydrofolate_reductase/DFRA,0,0,0,0,0,0,12,0,0,0
MEG_5773/Drugs/Phenicol/Phenicol_resistance_MFS_efflux_pumps/PEXA,0,0,0,0,0,0,22,0,0,0
MEG_6727/Drugs/betalactams/Class_A_betalactamases/TEM,2,2,0,0,0,0,0,0,0,0
MEG_7173/Drugs/Tetracyclines/Tetracycline_resistance_ribosomal_protection_proteins/TETO,52,49,58,72,120,44,42,13,63,52
MEG_997/Drugs/Aminoglycosides/Aminoglycoside_O_nucleotidyltransferases/ANT6,0,4,14,24,0,0,34,20,0,0
MEG_6109/Drugs/Rifampin/Rifampin_resistant_beta_subunit_of_RNA_polymerase_RpoB/RPOB/RequiresSNPConfirmation,176,384,249,283,339,112,228,141,327,138
MEG_8443/Drugs/Pleuromutilin/Pleuromutilin_resistant_23S_rRNA_mutation/P23S/RequiresSNPConfirmation,340,447,439,498,554,317,421,392,604,424
MEG_3251/Drugs/Fluoroquinolones/Fluoroquinolone_resistant_DNA_topoisomerases/GYRC/RequiresSNPConfirmation,400,466,485,643,641,312,397,289,966,426
MEG_5339/Drugs/Fluoroquinolones/Fluoroquinolone_resistant_DNA_topoisomerases/PARC/RequiresSNPConfirmation,0,96,82,92,0,0,68,84,0,90
MEG_3752/Multi_compound/Drug_and_biocide_resistance/Drug_and_biocide_RND_efflux_pumps/MDTF,0,0,0,0,0,56,0,0,0,0
MEG_342/Drugs/Aminoglycosides/Aminoglycoside_N_acetyltransferases/AAC6_PRIME,0,0,12,0,0,0,0,6,0,0
MEG_6867/Drugs/betalactams/Class_A_betalactamases/TEM,4,21,0,0,0,0,0,0,16,0
MEG_7470/Drugs/Glycopeptides/VanC_type_regulator/VANRC,0,23,30,41,12,0,32,44,165,0
MEG_7313/Drugs/Elfamycins/EF_Tu_inhibition/TUFAB/RequiresSNPConfirmation,179,320,149,260,290,170,175,74,1178,117
MEG_8/Drugs/Aminoglycosides/Aminoglycoside_resistant_16S_ribosomal_subunit_protein/A16S/RequiresSNPConfirmation,3297,4195,4296,4855,5351,3004,4293,4793,5510,4354
MEG_4051/Drugs/MLS/Macrolide_phosphotransferases/MPHN,0,0,42,0,0,0,0,0,0,0
MEG_4223/Drugs/Oxazolidinone/Oxazolidinone_resistant_23S_rRNA_mutation/O23S/RequiresSNPConfirmation,10215,18214,11630,17892,19291,10149,10033,7345,41196,12008
MEG_7028/Drugs/Tetracyclines/Tetracycline_resistance_MFS_efflux_pumps/TETA,0,20,2,0,0,3,0,0,0,0
MEG_7391/Drugs/Glycopeptides/VanE_type_resistance_protein/VANE,0,0,0,0,0,0,8,0,0,0
MEG_3588/Drugs/Lipopeptides/Daptomycin_resistant_mutant/LIAFSR/RequiresSNPConfirmation,0,0,0,0,0,26,0,0,0,0
MEG_1490/Drugs/Cationic_antimicrobial_peptides/Cationic_peptide_resistant_16S_ribosomal_subunit_protein/CAP16S/RequiresSNPConfirmation,2254,3252,3137,3607,4062,1976,2300,1750,6229,2926
MEG_7312/Drugs/Elfamycins/EF_Tu_inhibition/TUFAB/RequiresSNPConfirmation,1445,1556,1606,2221,2578,1077,1349,943,3228,1736
MEG_6740/Drugs/betalactams/Class_A_betalactamases/TEM,0,2,0,0,0,0,0,0,0,0
MEG_3356/Drugs/betalactams/Class_B_betalactamases/IMP,0,0,18,0,0,0,0,0,0,0
MEG_8065/Drugs/Trimethoprim/Dihydrofolate_reductase/DFRA,0,0,8,0,0,0,0,12,0,6
MEG_8232/Drugs/Multi_drug_resistance/Multi_drug_ABC_efflux_pumps/LPTD,0,0,0,22,0,0,0,0,0,0
MEG_138/Drugs/Aminoglycosides/Aminoglycoside_N_acetyltransferases/AAC6_PRIME,0,0,0,0,0,0,6,0,0,0
MEG_7017/Drugs/Tetracyclines/Tetracycline_resistance_MFS_efflux_pumps/TETA,0,24,26,0,20,0,0,0,0,0
MEG_4002/Metals/Multi_metal_resistance/Multi_metal_ABC_efflux_pumps/MODA,0,0,4,0,0,0,0,0,0,0
MEG_7115/Drugs/Tetracyclines/Tetracycline_resistance_ribosomal_protection_proteins/TETM,163,306,212,310,275,171,155,132,485,275
MEG_7857/Metals/Zinc_resistance/Zinc_resistance_protein/ZNUB,0,0,0,18,0,0,0,0,0,0
MEG_2696/Drugs/betalactams/Class_B_betalactamases/EBR,0,0,0,0,0,0,0,12,0,0
MEG_1161/Metals/Multi_metal_resistance/Multi_metal_resistance_protein/ARSCM,0,0,2,0,0,0,0,0,0,0
MEG_3989/Drugs/MLS/Macrolide_resistant_23S_rRNA_mutation/MLS23S/RequiresSNPConfirmation,126,136,160,165,215,0,134,0,253,129
MEG_6082/Multi_compound/Drug_and_biocide_and_metal_resistance/Drug_and_biocide_and_metal_RND_efflux_pumps/ROBA,0,10,25,0,0,0,0,0,0,0
MEG_137/Drugs/Aminoglycosides/Aminoglycoside_N_acetyltransferases/AAC6_PRIME,0,0,0,0,0,0,12,0,0,0
MEG_3587/Drugs/Lipopeptides/Daptomycin_resistant_mutant/LIAFSR/RequiresSNPConfirmation,0,0,0,0,0,0,0,34,0,0
MEG_7826/Metals/Multi_metal_resistance/Multi_metal_resistance_protein/YFED,0,14,0,0,0,0,0,0,0,0
MEG_1146/Metals/Arsenic_resistance/Arsenic_resistance_protein/ARSB,0,0,0,0,0,0,22,0,0,0
MEG_3591/Drugs/Lipopeptides/Daptomycin_resistant_mutant/LIAFSR/RequiresSNPConfirmation,0,0,0,0,0,0,0,10,0,0
MEG_2019/Metals/Copper_resistance/Copper_resistance_protein/COPA,0,0,0,25,0,0,0,0,0,0
MEG_2/Drugs/Aminoglycosides/Aminoglycoside_resistant_16S_ribosomal_subunit_protein/A16S/RequiresSNPConfirmation,4276,5082,5916,6786,7639,3614,4149,3392,11258,5798
MEG_4283/Drugs/betalactams/Mutant_porin_proteins/OMP37,0,0,7,0,0,0,0,0,0,0
MEG_5819/Drugs/Fosfomycin/Fosfomycin_target_mutation/PTSL/RequiresSNPConfirmation,143,193,183,248,224,106,166,106,414,143
MEG_2577/Drugs/Trimethoprim/Dihydrofolate_reductase/DFRE,0,0,0,0,0,0,8,12,0,0
MEG_7133/Drugs/Tetracyclines/Tetracycline_resistance_ribosomal_protection_proteins/TETM,21,37,17,16,16,28,20,14,49,24
MEG_1174/Metals/Multi_metal_resistance/Multi_metal_resistance_protein/ARSRM,0,0,0,0,0,0,0,0,22,0
MEG_4662/Drugs/betalactams/Class_D_betalactamases/OXA,0,18,0,0,28,0,0,22,44,0
MEG_7327/Drugs/Multi_drug_resistance/Multi_drug_ABC_efflux_pumps/TVAA,0,0,40,0,0,0,0,34,0,0
MEG_6654/Metals/Copper_resistance/Copper_resistance_protein/TCRZ,0,0,0,0,0,0,0,0,6,0
MEG_3324/Drugs/betalactams/Class_B_betalactamases/IMP,0,14,10,0,0,10,0,0,0,0
MEG_3943/Drugs/Multi_drug_resistance/MDR_regulator/MGRA,0,0,30,0,46,0,18,0,0,20
MEG_4276/Drugs/MLS/MLS_resistance_ABC_efflux_pumps/OLEC,0,76,0,70,72,0,58,0,0,0
MEG_8700/Multi_compount/Biocide_and_metal_resistance/Biocide_and_metal_ABC_efflux_pumps/SITABCD,0,0,0,0,0,92,0,0,0,0
MEG_3214/Drugs/Fluoroquinolones/Fluoroquinolone_resistant_DNA_topoisomerases/GYRA/RequiresSNPConfirmation,195,405,327,416,447,251,255,235,559,327
MEG_7135/Drugs/Tetracyclines/Tetracycline_resistance_ribosomal_protection_proteins/TETM,61,148,105,169,104,73,67,59,203,100
MEG_6511/Drugs/betalactams/Class_B_betalactamases/SIM,0,0,0,0,0,0,8,0,0,0
MEG_7485/Drugs/Glycopeptides/VanO_type_regulator/VANRO,0,0,0,0,0,0,0,0,9,0
MEG_3189/Drugs/Fluoroquinolones/Fluoroquinolone_resistant_DNA_topoisomerases/GYRA/RequiresSNPConfirmation,0,0,30,33,0,0,30,0,0,0
MEG_2707/Multi_compound/Drug_and_biocide_resistance/Drug_and_biocide_ABC_efflux_pumps/EFRB,0,46,0,78,34,0,30,0,692,0
MEG_3281/Drugs/betalactams/Class_A_betalactamases/HUGA,0,0,18,0,0,0,0,0,30,0
MEG_5345/Drugs/Fluoroquinolones/Fluoroquinolone_resistant_DNA_topoisomerases/PARC/RequiresSNPConfirmation,0,0,0,0,0,0,0,0,48,0
MEG_7019/Drugs/Tetracyclines/Tetracycline_resistance_MFS_efflux_pumps/TETA,4,26,0,0,3,11,0,0,0,0
MEG_2550/Drugs/Trimethoprim/Dihydrofolate_reductase/DFRA,0,0,0,0,0,0,0,6,0,0
MEG_849/Drugs/Aminoglycosides/Aminoglycoside_O_nucleotidyltransferases/ANT3_DPRIME,0,0,0,0,0,3,0,0,0,0
MEG_7109/Drugs/Tetracyclines/Tetracycline_resistance_ribosomal_protection_proteins/TETM,64,137,87,139,121,73,61,43,211,102
MEG_3626/Drugs/Lipopeptides/Colistin_resistant_mutant/LPXA/RequiresSNPConfirmation,0,0,12,0,0,10,0,0,0,0
MEG_7054/Drugs/Tetracyclines/Tetracycline_resistance_ABC_efflux_pumps/TETB60,0,0,0,0,0,0,0,30,0,0
MEG_2940/Drugs/Sulfonamides/Sulfonamide_resistant_dihydropteroate_synthases/FOLP/RequiresSNPConfirmation,0,0,0,0,0,0,38,34,0,0
MEG_5368/Drugs/Aminocoumarins/Aminocoumarin_resistant_DNA_topoisomerases/PARE/RequiresSNPConfirmation,0,87,90,107,0,0,74,0,124,0
MEG_3913/Multi_compound/Drug_and_biocide_resistance/Drug_and_biocide_RND_efflux_pumps/MEXG,0,0,0,0,0,0,0,12,0,0
MEG_7098/Drugs/Tetracyclines/Tetracycline_resistance_MFS_efflux_pumps/TETL,5,5,8,0,53,140,82,26,0,47
MEG_6572/Biocides/Multi_biocide_resistance/Multi_biocide_SMR_efflux_pump/SSME,0,0,0,0,0,0,2,0,0,0
MEG_3746/Multi_compound/Drug_and_biocide_and_metal_resistance/Drug_and_biocide_and_metal_RND_efflux_pumps/MDTA,0,0,0,23,0,10,0,0,0,0
MEG_7048/Drugs/Tetracyclines/Tetracycline_resistance_MFS_efflux_pumps/TETB,133,174,166,195,228,113,144,99,276,143
MEG_2805/Drugs/MLS/23S_rRNA_methyltransferases/ERMB,0,0,3,2,2,6,8,0,6,4
MEG_1189/Drugs/Bacitracin/Undecaprenyl_pyrophosphate_phosphatase/BACA,0,0,10,0,0,4,0,0,0,0
MEG_7267/Biocides/Multi_biocide_resistance/Multi_biocide_RND_efflux_pump/TOLC,0,0,0,4,0,0,0,0,0,0
MEG_6091/Drugs/Rifampin/Rifampin_resistant_beta_subunit_of_RNA_polymerase_RpoB/RPOB/RequiresSNPConfirmation,0,0,70,0,0,0,0,0,0,0
MEG_2756/Drugs/MLS/23S_rRNA_methyltransferases/ERM,0,0,30,0,0,0,0,0,0,0
MEG_2791/Drugs/MLS/23S_rRNA_methyltransferases/ERMB,0,4,0,3,13,7,3,0,10,4
MEG_8261/Drugs/MLS/MLS_resistance_ABC_efflux_pumps/MSRH,0,0,66,0,72,0,28,0,0,0
MEG_2972/Drugs/Sulfonamides/Sulfonamide_resistant_dihydropteroate_synthases/FOLP/RequiresSNPConfirmation,2,0,0,0,0,0,0,0,7,0
MEG_8233/Drugs/Multi_drug_resistance/Multi_drug_ABC_efflux_pumps/LSAD,0,0,0,0,0,0,32,0,0,0
MEG_6948/Drugs/betalactams/Class_A_betalactamases/TEM,0,2,0,0,0,0,0,0,0,0
MEG_3802/Drugs/betalactams/Penicillin_binding_protein_regulator/MECI,0,0,0,6,10,10,6,0,0,0
MEG_6949/Drugs/betalactams/Class_A_betalactamases/TEM,0,2,0,0,0,0,0,0,0,0
MEG_5373/Drugs/Aminocoumarins/Aminocoumarin_resistant_DNA_topoisomerases/PARE/RequiresSNPConfirmation,165,372,226,276,191,192,284,111,1428,308
MEG_7059/Drugs/Tetracyclines/Tetracycline_resistance_MFS_efflux_pumps/TETC,59,101,14,30,39,14,14,12,21,24
MEG_1486/Metals/Multi_metal_resistance/Multi_metal_resistance_protein/CADD,0,30,32,0,26,64,22,0,0,0
MEG_2998/Drugs/Fosfomycin/Fosfomycin_thiol_transferases/FOSA,0,0,0,22,0,0,0,8,0,0
MEG_7311/Drugs/Elfamycins/EF_Tu_inhibition/TUFAB/RequiresSNPConfirmation,16,35,42,39,54,29,29,35,37,9
MEG_7195/Drugs/Tetracyclines/Tetracycline_transcriptional_repressor/TETR/RequiresSNPConfirmation,0,0,0,0,0,10,0,0,0,0
MEG_8674/Drugs/Rifampin/Rifampin_resistant_beta_subunit_of_RNA_polymerase_RpoB/RPOB,1342,1504,1193,1733,1610,879,714,508,1534,1230
MEG_5827/Multi_compound/Drug_and_biocide_resistance/Drug_and_biocide_SMR_efflux_pumps/QACE,0,0,0,0,0,0,0,8,0,0
MEG_7230/Drugs/Tetracyclines/Tetracycline_resistance_ribosomal_protection_proteins/TETW,50,43,33,75,86,41,44,10,28,27
MEG_7105/Drugs/Tetracyclines/Tetracycline_resistance_ribosomal_protection_proteins/TETM,205,317,266,401,381,226,240,129,560,299
MEG_3249/Drugs/Aminocoumarins/Aminocoumarin_resistant_DNA_topoisomerases/GYRBA/RequiresSNPConfirmation,0,0,0,0,106,79,83,43,0,71
MEG_6927/Drugs/betalactams/Class_A_betalactamases/TEM,0,2,0,0,0,0,0,0,0,0
MEG_7044/Drugs/Tetracyclines/Tetracycline_resistance_MFS_efflux_pumps/TETB,131,242,130,259,257,118,154,102,336,215
MEG_3990/Drugs/MLS/Macrolide_resistant_23S_rRNA_mutation/MLS23S/RequiresSNPConfirmation,1502,1898,1742,2261,2411,1222,1192,926,2151,1588
MEG_1147/Metals/Arsenic_resistance/Arsenic_resistance_protein/ARSB,0,0,0,0,0,0,18,0,0,0
MEG_2768/Drugs/MLS/23S_rRNA_methyltransferases/ERM,0,0,0,0,0,0,42,0,0,0
MEG_3609/Drugs/MLS/Lincosamide_nucleotidyltransferases/LNUB,0,0,10,0,0,0,20,0,0,0
MEG_6594/Drugs/Sulfonamides/Sulfonamide_resistant_dihydropteroate_synthases/SULI,1,0,0,0,0,0,0,0,0,0
MEG_3006/Drugs/Fosfomycin/Fosfomycin_thiol_transferases/FOSB,0,32,54,0,30,0,28,0,0,0
MEG_415/Multi_compound/Drug_and_biocide_resistance/Drug_and_biocide_RND_efflux_regulator/ACRS,0,0,0,0,0,0,14,0,0,0
MEG_2120/Multi_compound/Drug_and_biocide_resistance/Drug_and_biocide_RND_efflux_regulator/CPXAR,4,0,8,0,0,0,0,0,0,0
MEG_7246/Drugs/Tetracyclines/Tetracycline_resistance_MFS_efflux_pumps/TETY,0,0,2,0,0,0,8,3,0,4
MEG_7590/Drugs/Glycopeptides/VanL_type_resistance_protein/VANXYL,0,0,0,0,0,0,0,8,8,0
MEG_7829/Metals/Copper_resistance/Copper_resistance_regulator/YFMP,0,0,44,0,0,0,0,0,0,0
MEG_4515/Drugs/betalactams/Class_D_betalactamases/OXA,0,0,12,0,0,0,10,0,0,0
MEG_7855/Metals/Zinc_resistance/Zinc_resistance_protein/ZNUA,0,0,21,0,0,0,0,0,0,0
MEG_6105/Drugs/Rifampin/Rifampin_resistant_beta_subunit_of_RNA_polymerase_RpoB/RPOB/RequiresSNPConfirmation,241,473,259,343,333,197,280,132,760,339
MEG_6857/Drugs/betalactams/Class_A_betalactamases/TEM,0,2,0,0,0,0,0,0,0,0
MEG_1185/Multi_compound/Drug_and_biocide_resistance/Drug_and_biocide_RND_efflux_pumps/AXY,0,0,0,88,0,0,0,0,0,0
MEG_4177/Metals/Nickel_resistance/Nickel_ABC_efflux_regulator/NIKR,0,2,1,0,0,0,0,0,0,0
MEG_6793/Drugs/betalactams/Class_A_betalactamases/TEM,0,2,0,0,0,0,0,0,0,0
MEG_7868/Metals/Zinc_resistance/Zinc_resistance_regulator/ZUR,0,0,0,5,0,0,0,0,0,0
MEG_1628/Drugs/Phenicol/Chloramphenicol_acetyltransferases/CATB/RequiresSNPConfirmation,0,0,0,0,0,0,10,0,0,0
MEG_6854/Drugs/betalactams/Class_A_betalactamases/TEM,0,2,0,0,0,0,0,0,2,0
MEG_8073/Drugs/Trimethoprim/Dihydrofolate_reductase/DHFR/RequiresSNPConfirmation,0,0,56,0,0,0,72,70,0,0
MEG_4094/Drugs/Fosfomycin/Fosfomycin_target_mutation/MURA/RequiresSNPConfirmation,0,0,54,0,0,50,0,34,0,44
MEG_3976/Drugs/MLS/Macrolide_resistant_23S_rRNA_mutation/MLS23S/RequiresSNPConfirmation,5261,6521,5831,8206,9956,8115,5603,6250,12176,9051
MEG_8154/Drugs/Spiropyrimidinetriones/Zoliflodacin_resistant_DNA_topoisomerases/GYRBZ/RequiresSNPConfirmation,180,328,200,255,224,158,160,117,347,154
MEG_5350/Drugs/Fluoroquinolones/Fluoroquinolone_resistant_DNA_topoisomerases/PARC/RequiresSNPConfirmation,28,0,0,0,0,0,0,0,0,0
MEG_6976/Drugs/Tetracyclines/Tetracycline_inactivation_enzymes/TET34,8,0,0,0,0,0,0,0,0,0
MEG_3200/Drugs/Fluoroquinolones/Fluoroquinolone_resistant_DNA_topoisomerases/GYRA/RequiresSNPConfirmation,201,499,341,449,449,226,219,256,1851,267
MEG_8252/Drugs/MLS/Macrolide_resistant_23S_rRNA_mutation/MLS23S/RequiresSNPConfirmation,979,1977,1241,1605,2137,737,1230,656,1949,661
MEG_2072/Metals/Copper_resistance/Copper_resistance_regulator/COPR,0,0,0,0,0,0,0,4,0,0
MEG_6836/Drugs/betalactams/Class_A_betalactamases/TEM,0,0,0,0,0,0,0,0,2,0
MEG_2769/Drugs/MLS/23S_rRNA_methyltransferases/ERM,0,0,0,0,0,0,16,0,0,0
MEG_95/Drugs/Aminoglycosides/Aminoglycoside_N_acetyltransferases/AAC6_PRIME,0,0,0,0,0,0,1,0,0,0
MEG_7317/Drugs/Elfamycins/EF_Tu_inhibition/TUFAB/RequiresSNPConfirmation,234,400,301,314,406,200,215,131,399,167
MEG_3053/Drugs/betalactams/Class_A_betalactamases/FRI,0,0,0,0,0,0,0,12,0,0
MEG_3144/Drugs/Fosfomycin/Fosfomycin_target_mutation/GLPT/RequiresSNPConfirmation,5,0,24,6,0,0,0,0,0,0
MEG_3237/Drugs/Fluoroquinolones/Fluoroquinolone_resistant_DNA_topoisomerases/GYRA/RequiresSNPConfirmation,124,171,172,162,170,89,74,60,160,138
MEG_1747/Multi_compound/Drug_and_biocide_and_metal_resistance/Drug_and_biocide_and_metal_RND_efflux_regulator/CMER,0,0,0,0,0,0,88,0,0,20
