gene_accession,HBB04e_t2_M_BC,HBB05e_t2_M_BC,HBB03e_t2_M_BC,HBB04u_t2_M_BC,HBB03u_t2_M_BC,HBB02u_t2_M_BC,HBB02e_t2_M_BC,HBB01u_t2_M_BC,HBB01e_t2_M_BC,HBB05u_t2_M_BC
MEG_7831/Multi-compound/Biocide_and_metal_resistance/Biocide_and_metal_resistance_protein/YGIW,3,0,0,0,0,0,0,0,0,0
MEG_8662/Drugs/Metronidazole/rdxA_nitroimidazole_reductase/RDXA,0,0,42,0,0,0,0,0,0,0
MEG_7884/Multi-compound/Drug_and_biocide_resistance/Drug_and_biocide_RND_efflux_regulator/ACRR/RequiresSNPConfirmation,0,0,0,0,0,0,18,0,12,0
MEG_8705/Drugs/betalactams/Class_A_betalactamases/TEM,0,0,0,0,0,0,0,0,0,2
MEG_3602/Drugs/MLS/Lincosamide_nucleotidyltransferases/LNUA,6,0,0,0,0,0,0,0,0,0
MEG_6754/Drugs/betalactams/Class_A_betalactamases/TEM,4,0,0,0,0,0,0,0,0,6
MEG_3324/Drugs/betalactams/Class_B_betalactamases/IMP,12,0,0,0,0,0,0,18,0,0
MEG_2785/Drugs/MLS/23S_rRNA_methyltransferases/ERMA,0,0,0,0,0,66,0,9,0,0
MEG_2720/Biocides/Multi-biocide_resistance/Multi-biocide_MATE_efflux_pump/EMMDR,0,0,0,0,0,0,34,0,100,0
MEG_5386/Drugs/Aminocoumarins/Aminocoumarin-resistant_DNA_topoisomerases/PARE/RequiresSNPConfirmation,92,0,44,0,72,92,52,77,47,0
MEG_6857/Drugs/betalactams/Class_A_betalactamases/TEM,2,0,0,0,0,0,0,0,0,0
MEG_4026/Drugs/MLS/Macrolide_phosphotransferases/MPH,0,0,0,0,50,0,0,0,0,0
MEG_1566/Drugs/Phenicol/Chloramphenicol_acetyltransferases/CATA,2,0,0,0,0,0,0,0,0,0
MEG_1701/Metals/Sodium_resistance/Sodium_resistance_protein/CHAA,14,17,0,0,0,24,0,0,0,0
MEG_2875/Biocides/Phenolic_compound_resistance/Phenolic_resistance_protein/FABI,10,0,4,1,0,0,4,0,51,0
MEG_3252/Biocides/Multi-biocide_resistance/Multi-biocide_RND_efflux_pump/HASF,110,0,0,92,59,0,0,0,0,0
MEG_1057/Drugs/Aminoglycosides/Aminoglycoside_O-phosphotransferases/APH3-DPRIME,8,12,0,3,6,6,2,0,3,29
MEG_7032/Drugs/Tetracyclines/Tetracycline_resistance_MFS_efflux_pumps/TETA,2,50,0,16,0,7,0,0,0,20
MEG_6544/Biocides/Peroxide_resistance/peroxide_resistance_protein/SODB,0,0,22,34,0,38,0,44,0,48
MEG_2707/Multi-compound/Drug_and_biocide_resistance/Drug_and_biocide_ABC_efflux_pumps/EFRB,0,266,66,470,62,0,0,0,0,442
MEG_5817/Metals/Arsenic_resistance/Arsenic_resistance_protein/PSTS,12,4,0,0,4,0,0,0,0,0
MEG_2654/Metals/Copper_resistance/Copper_resistance_protein/DNAK,285,105,136,173,156,256,135,205,182,302
MEG_7511/Drugs/Glycopeptides/VanE-type_regulator/VANSE,40,0,0,0,42,0,46,0,0,0
MEG_2801/Drugs/MLS/23S_rRNA_methyltransferases/ERMB,11,28,3,38,12,0,7,1,43,30
MEG_2078/Metals/Copper_resistance/Copper_resistance_regulator/COPS,0,0,0,0,0,0,4,0,0,0
MEG_1192/Multi-compound/Drug_and_biocide_and_metal_resistance/Drug_and_biocide_and_metal_RND_efflux_regulator/BAER,16,0,3,6,3,0,2,0,31,0
MEG_4060/Metals/Multi-metal_resistance/Multi-metal_resistance_protein/MREA,0,0,0,140,44,0,0,0,0,0
MEG_3253/Biocides/Acid_resistance/Acid_resistance_protein/HDEA,2,0,0,2,0,0,0,0,0,0
MEG_2137/Drugs/betalactams/Class_A_betalactamases/CSP,0,44,0,0,0,38,26,0,0,0
MEG_3180/Drugs/Fluoroquinolones/Fluoroquinolone-resistant_DNA_topoisomerases/GYRA/RequiresSNPConfirmation,140,85,63,150,90,135,0,83,93,206
MEG_8234/Drugs/MLS/MLS_resistance_ABC_efflux_pumps/MACAB/RequiresSNPConfirmation,0,0,10,0,0,18,0,14,0,0
MEG_7275/Biocides/Phenolic_compound_resistance/Phenolic_RND_efflux_pump/TRIC,0,0,0,0,0,0,0,0,0,94
MEG_3143/Drugs/Fosfomycin/Fosfomycin_target_mutation/GLPT/RequiresSNPConfirmation,76,19,49,0,31,54,0,0,42,22
MEG_7062/Drugs/Tetracyclines/Tetracycline_resistance_MFS_efflux_pumps/TETC,18,26,24,8,14,44,25,27,24,65
MEG_3220/Drugs/Fluoroquinolones/Fluoroquinolone-resistant_DNA_topoisomerases/GYRA/RequiresSNPConfirmation,32,39,34,0,0,30,0,30,65,0
MEG_5831/Multi-compound/Drug_and_biocide_resistance/Drug_and_biocide_SMR_efflux_pumps/QACEDELTA1,0,0,0,2,0,0,0,0,0,0
MEG_5767/Drugs/betalactams/Class_A_betalactamases/PER,0,0,0,0,0,100,0,0,0,114
MEG_2316/Drugs/betalactams/Class_A_betalactamases/CTX,1,0,0,0,6,0,0,0,0,0
MEG_6696/Drugs/betalactams/Class_A_betalactamases/TEM,0,0,0,0,0,0,0,0,0,2
MEG_1207/Drugs/betalactams/Class_A_betalactamases/BCL,0,0,0,0,0,0,34,0,26,0
MEG_2430/Drugs/betalactams/Class_A_betalactamases/CTX,0,0,279,16,85,141,61,65,16,0
MEG_5120/Drugs/betalactams/Class_D_betalactamases/OXA,0,2,0,0,0,2,0,0,0,2
MEG_7142/Drugs/Tetracyclines/Tetracycline_resistance_ribosomal_protection_proteins/TETM,92,63,18,91,24,25,43,28,34,99
MEG_2672/Metals/Multi-metal_resistance/Multi-metal_resistance_protein/DSBA,2,0,0,0,0,0,0,0,0,0
MEG_3744/Multi-compound/Drug_and_biocide_and_metal_resistance/Drug_and_biocide_and_metal_RND_efflux_pumps/MDTA,0,18,0,0,0,0,0,0,65,0
MEG_5342/Drugs/Fluoroquinolones/Fluoroquinolone-resistant_DNA_topoisomerases/PARC/RequiresSNPConfirmation,16,0,41,14,33,25,30,14,263,0
MEG_3006/Drugs/Fosfomycin/Fosfomycin_thiol_transferases/FOSB,0,0,0,0,22,0,0,10,0,0
MEG_3210/Drugs/Fluoroquinolones/Fluoroquinolone-resistant_DNA_topoisomerases/GYRA/RequiresSNPConfirmation,0,0,0,0,0,0,0,0,0,15
MEG_2842/Drugs/MLS/23S_rRNA_methyltransferases/ERMQ,0,0,0,0,28,0,0,0,0,0
MEG_2729/Multi-compound/Drug_and_biocide_resistance/Drug_and_biocide_MFS_efflux_pumps/EMRD,13,11,0,0,0,0,0,0,0,0
MEG_6112/Drugs/Rifampin/Rifampin-resistant_beta-subunit_of_RNA_polymerase_RpoB/RPOB/RequiresSNPConfirmation,153,188,79,233,135,184,113,133,130,205
MEG_3176/Drugs/Fluoroquinolones/Fluoroquinolone-resistant_DNA_topoisomerases/GYRA/RequiresSNPConfirmation,0,0,0,113,0,0,0,0,0,0
MEG_6025/Drugs/Fluoroquinolones/Quinolone_resistance_protein_Qnr/QNRS,0,0,10,0,0,0,0,0,0,0
MEG_5364/Drugs/Aminocoumarins/Aminocoumarin-resistant_DNA_topoisomerases/PARE/RequiresSNPConfirmation,58,0,0,0,0,68,0,0,0,0
MEG_7144/Drugs/Tetracyclines/Tetracycline_resistance_ribosomal_protection_proteins/TETM,35,16,0,36,18,15,24,2,12,43
MEG_7318/Drugs/Elfamycins/EF-Tu_inhibition/TUFAB/RequiresSNPConfirmation,474,633,354,854,415,493,281,371,475,966
MEG_7615/Drugs/Glycopeptides/VanA-type_accessory_protein/VANZA,0,0,0,0,0,0,0,6,0,0
MEG_6791/Drugs/betalactams/Class_A_betalactamases/TEM,0,0,0,0,0,0,0,0,0,6
MEG_2737/Multi-compound/Drug_and_biocide_resistance/Drug_and_biocide_MFS_efflux_pumps/EMRY,18,0,0,0,0,0,0,0,0,0
MEG_6124/Drugs/Rifampin/Rifampin-resistant_beta-subunit_of_RNA_polymerase_RpoB/RPOB/RequiresSNPConfirmation,147,151,79,171,121,175,80,109,160,199
MEG_7974/Drugs/betalactams/Class_C_betalactamase_regulator/AMPCR/RequiresSNPConfirmation,0,4,0,0,0,0,4,0,0,0
MEG_5390/Drugs/Aminocoumarins/Aminocoumarin-resistant_DNA_topoisomerases/PARE/RequiresSNPConfirmation,42,46,32,73,37,36,0,20,34,42
MEG_6624/Drugs/Sulfonamides/Sulfonamide-resistant_dihydropteroate_synthases/SULII,20,18,16,79,29,14,24,18,4,17
MEG_3200/Drugs/Fluoroquinolones/Fluoroquinolone-resistant_DNA_topoisomerases/GYRA/RequiresSNPConfirmation,486,831,325,1600,274,387,237,223,241,1204
MEG_8717/Drugs/Tetracyclines/Tetracycline_inactivation_enzymes/TETX,0,0,0,0,0,0,0,22,0,0
MEG_3287/Biocides/Peroxide_resistance/Peroxide_resistance_stress_protein/IBPA,14,2,12,2,4,4,6,2,94,0
MEG_2115/Multi-compound/Drug_and_biocide_resistance/Drug_and_biocide_RND_efflux_regulator/CPXAR,23,57,24,0,20,26,23,0,140,0
MEG_7218/Drugs/Tetracyclines/Tetracycline_resistance_ribosomal_protection_proteins/TETW,28,8,2,20,4,4,8,6,0,6
MEG_1128/Drugs/Rifampin/Rifampin_ADP-ribosyltransferase_Arr/ARR,30,0,0,0,0,30,0,0,12,0
MEG_3588/Drugs/Lipopeptides/Daptomycin-resistant_mutant/LIAFSR/RequiresSNPConfirmation,14,0,0,0,50,0,0,0,0,0
MEG_6619/Drugs/Sulfonamides/Sulfonamide-resistant_dihydropteroate_synthases/SULII,16,6,4,33,10,2,7,13,0,4
MEG_7832/Metals/Multi-metal_resistance/Multi-metal_resistance_protein/YGJH,3,2,0,2,0,0,0,0,0,0
MEG_2791/Drugs/MLS/23S_rRNA_methyltransferases/ERMB,11,16,2,16,8,4,0,0,7,13
MEG_402/Multi-compound/Drug_and_biocide_resistance/Drug_and_biocide_RND_efflux_pumps/ACRB,0,0,0,0,0,0,0,0,0,73
MEG_5850/Multi-compound/Drug_and_biocide_resistance/Drug_and_biocide_SMR_efflux_pumps/QACK,0,10,14,0,0,4,0,18,16,4
MEG_3224/Drugs/Fluoroquinolones/Fluoroquinolone-resistant_DNA_topoisomerases/GYRA/RequiresSNPConfirmation,191,115,122,126,155,164,71,138,135,230
MEG_1037/Drugs/Aminoglycosides/Aminoglycoside_O-phosphotransferases/APH3-DPRIME,0,0,0,0,0,26,0,0,0,0
MEG_5813/Metals/Arsenic_resistance/Arsenic_resistance_protein/PSTA,18,12,6,0,8,14,14,18,49,0
MEG_6959/Metals/Tellurium_resistance/Tellurium_resistance_protein/TERE,8,0,0,0,0,0,0,0,0,0
MEG_1745/Multi-compound/Drug_and_biocide_and_metal_resistance/Drug_and_biocide_and_metal_RND_efflux_pumps/CMEF,0,0,0,0,0,0,0,0,0,160
MEG_4101/Drugs/Multi-drug_resistance/Multi-drug_RND_efflux_pumps/MUXB,0,0,58,0,53,101,0,0,91,139
MEG_7521/Drugs/Glycopeptides/VanN-type_regulator/VANSN,0,0,0,0,0,0,0,0,54,0
MEG_2448/Metals/Multi-metal_resistance/Multi-metal_RND_efflux_pumps/CUSC,4,0,0,0,0,0,0,0,0,0
MEG_7819/Biocides/Multi-biocide_resistance/Multi-biocide_resistance_regulator/YDEO,2,0,0,0,0,0,0,0,0,0
MEG_7842/Multi-compound/Drug_and_biocide_resistance/Drug_and_biocide_ABC_efflux_pumps/YOGI,22,0,0,0,0,0,0,0,0,0
MEG_7222/Drugs/Tetracyclines/Tetracycline_resistance_ribosomal_protection_proteins/TETW,10,4,2,9,6,4,0,0,2,7
MEG_7016/Drugs/Tetracyclines/Tetracycline_resistance_MFS_efflux_pumps/TETA,0,30,0,82,0,30,0,0,0,39
MEG_2706/Multi-compound/Drug_and_biocide_resistance/Drug_and_biocide_ABC_efflux_pumps/EFRA,0,355,68,539,48,0,0,0,56,420
MEG_5331/Drugs/Fluoroquinolones/Fluoroquinolone-resistant_DNA_topoisomerases/PARC/RequiresSNPConfirmation,0,0,0,0,0,70,0,0,0,0
MEG_5371/Drugs/Aminocoumarins/Aminocoumarin-resistant_DNA_topoisomerases/PARE/RequiresSNPConfirmation,158,271,112,224,132,178,109,190,142,287
MEG_2050/Metals/Copper_resistance/Copper_resistance_protein/COPC,0,0,0,0,0,0,0,10,0,0
MEG_2909/Metals/Multi-metal_resistance/Multi-metal_resistance_protein/FIEF,11,7,0,0,0,10,10,0,47,0
MEG_6740/Drugs/betalactams/Class_A_betalactamases/TEM,0,0,0,0,0,0,0,0,0,4
MEG_6141/Biocides/Multi-biocide_resistance/Multi-biocide_resistance_regulator/RPOS,32,12,19,42,35,15,3,6,123,9
MEG_4574/Drugs/betalactams/Class_D_betalactamases/OXA,0,0,0,0,0,0,12,0,0,0
MEG_6914/Drugs/betalactams/Class_A_betalactamases/TEM,4,0,0,0,0,0,0,0,0,8
MEG_1747/Multi-compound/Drug_and_biocide_and_metal_resistance/Drug_and_biocide_and_metal_RND_efflux_regulator/CMER,0,16,0,0,0,0,12,0,18,0
MEG_7098/Drugs/Tetracyclines/Tetracycline_resistance_MFS_efflux_pumps/TETL,2,14,0,0,0,11,0,59,0,40
MEG_3801/Drugs/betalactams/Penicillin_binding_protein/MECD,0,0,0,0,0,28,0,0,0,0
MEG_2074/Metals/Copper_resistance/Copper_resistance_regulator/COPR,18,0,0,0,0,0,0,0,0,0
MEG_3751/Multi-compound/Drug_and_biocide_resistance/Drug_and_biocide_RND_efflux_pumps/MDTE,26,0,0,0,0,0,0,0,0,0
MEG_2456/Metals/Copper_resistance/Copper_resistance_protein/CUTC,13,0,0,26,0,0,0,0,0,0
MEG_7132/Drugs/Tetracyclines/Tetracycline_resistance_ribosomal_protection_proteins/TETM,112,56,87,117,86,48,56,92,64,93
MEG_6632/Drugs/Sulfonamides/Sulfonamide-resistant_dihydropteroate_synthases/SULII,38,24,17,99,28,18,17,24,6,24
MEG_2936/Drugs/Sulfonamides/Sulfonamide-resistant_dihydropteroate_synthases/FOLP/RequiresSNPConfirmation,22,0,0,0,0,0,0,0,0,0
MEG_7459/Drugs/Glycopeptides/VanA-type_regulator/VANRA,0,0,0,20,0,0,0,0,0,0
MEG_6912/Drugs/betalactams/Class_A_betalactamases/TEM,2,0,0,0,0,0,0,0,0,0
MEG_4665/Drugs/betalactams/Class_D_betalactamases/OXA,0,0,0,20,0,0,0,0,0,0
MEG_6950/Drugs/betalactams/Class_A_betalactamases/TEM,0,0,0,0,0,2,0,0,0,2
MEG_8014/Drugs/Phenicol/Chloramphenicol_acetyltransferases/CATT,0,0,0,0,16,0,0,0,0,0
MEG_7208/Drugs/Tetracyclines/Tetracycline_resistance_ribosomal_protection_proteins/TETW,8,14,0,16,12,6,0,4,18,4
MEG_88/Drugs/Aminoglycosides/Aminoglycoside_N-acetyltransferases/AAC6-PRIME,0,0,0,0,0,0,0,20,0,0
MEG_7822/Metals/Multi-metal_resistance/Multi-metal_resistance_protein/YFEA,0,0,26,26,25,50,26,30,28,46
MEG_3752/Multi-compound/Drug_and_biocide_resistance/Drug_and_biocide_RND_efflux_pumps/MDTF,97,15,0,0,0,0,0,0,0,0
MEG_1231/Metals/Copper_resistance/Copper_resistance_regulator/BHSA,0,27,26,0,0,36,0,0,6,0
MEG_40/Drugs/Aminoglycosides/Aminoglycoside_N-acetyltransferases/AAC3,0,0,0,0,0,0,0,0,18,0
MEG_7198/Drugs/Tetracyclines/Tetracycline_resistance_ribosomal_protection_proteins/TETS,19,13,0,22,19,0,8,0,0,0
MEG_7485/Drugs/Glycopeptides/VanO-type_regulator/VANRO,0,0,0,0,0,0,0,0,0,22
MEG_3757/Multi-compound/Drug_and_biocide_resistance/Drug_and_biocide_SMR_efflux_pumps/MDTJ,1,0,0,0,0,0,0,0,0,2
MEG_6622/Drugs/Sulfonamides/Sulfonamide-resistant_dihydropteroate_synthases/SULII,24,15,18,77,36,13,17,14,13,10
MEG_2790/Drugs/MLS/23S_rRNA_methyltransferases/ERMB,4,14,4,17,2,0,0,0,4,10
MEG_2721/Multi-compound/Drug_and_biocide_resistance/Drug_and_biocide_MFS_efflux_pumps/EMRA,0,0,0,22,0,0,0,0,0,0
MEG_4168/Metals/Nickel_resistance/Nickel_ABC_efflux_pumps/NIKB,16,0,0,0,0,0,0,0,0,0
MEG_6847/Drugs/betalactams/Class_A_betalactamases/TEM,0,0,0,0,0,0,0,0,0,2
MEG_7029/Drugs/Tetracyclines/Tetracycline_resistance_MFS_efflux_pumps/TETA,0,13,0,0,0,6,0,0,0,8
MEG_3266/Drugs/betalactams/Class_B_betalactamases/HMB,0,0,0,0,0,12,0,0,0,0
MEG_4004/Metals/Multi-metal_resistance/Multi-metal_ABC_efflux_pumps/MODB,4,0,0,0,0,0,0,0,0,0
MEG_1628/Drugs/Phenicol/Chloramphenicol_acetyltransferases/CATB/RequiresSNPConfirmation,0,0,0,16,0,0,24,16,0,0
MEG_7024/Drugs/Tetracyclines/Tetracycline_resistance_MFS_efflux_pumps/TETA,6,43,0,29,0,21,0,0,0,37
MEG_8232/Drugs/Multi-drug_resistance/Multi-drug_ABC_efflux_pumps/LPTD,0,26,37,45,0,50,21,0,211,0
MEG_2833/Drugs/MLS/23S_rRNA_methyltransferases/ERMF,0,0,0,18,22,0,0,0,20,0
MEG_3175/Drugs/Lipopeptides/Daptomycin-resistant_mutant/GSHF/RequiresSNPConfirmation,0,464,144,630,110,0,0,0,0,521
MEG_1019/Drugs/Aminoglycosides/Aminoglycoside_O-phosphotransferases/APH3-DPRIME,38,38,9,3,0,18,15,12,0,60
MEG_5126/Drugs/betalactams/Class_D_betalactamases/OXA,0,0,0,0,0,8,0,0,0,0
MEG_3980/Drugs/MLS/Macrolide-resistant_23S_rRNA_mutation/MLS23S/RequiresSNPConfirmation,1147,837,582,1100,887,1211,629,712,708,1403
MEG_6138/Drugs/Glycopeptides/Vancomycin-resistant_mutation/RPOC/RequiresSNPConfirmation,719,872,433,1065,579,614,425,475,533,893
MEG_7028/Drugs/Tetracyclines/Tetracycline_resistance_MFS_efflux_pumps/TETA,0,19,0,10,2,4,0,0,0,21
MEG_4100/Drugs/Multi-drug_resistance/Multi-drug_RND_efflux_pumps/MUXA,0,0,0,0,0,0,0,0,0,17
MEG_7215/Drugs/Tetracyclines/Tetracycline_resistance_ribosomal_protection_proteins/TETW,69,36,18,78,35,26,26,14,18,40
MEG_48/Drugs/Aminoglycosides/Aminoglycoside_N-acetyltransferases/AAC3,0,0,0,0,0,0,0,0,0,34
MEG_718/Drugs/betalactams/Class_B_betalactamases/ALG,0,0,0,0,0,0,0,16,0,0
MEG_8741/Multi-compound/Drug_and_biocide_resistance/Drug_and_biocide_RND_efflux_regulator/YAJC,0,0,80,0,10,0,0,0,0,0
MEG_91/Drugs/Aminoglycosides/Aminoglycoside_N-acetyltransferases/AAC6-PRIME,0,0,0,0,0,0,0,6,0,0
MEG_1063/Drugs/Aminoglycosides/Aminoglycoside_O-phosphotransferases/APH3-PRIME,14,0,0,0,0,0,0,38,0,0
MEG_3761/Multi-compound/Drug_and_biocide_resistance/Drug_and_biocide_MFS_efflux_pumps/MDTM,30,0,0,0,0,0,0,0,0,0
MEG_4110/Drugs/Multi-drug_resistance/Multi-drug_RND_efflux_regulator/NALD/RequiresSNPConfirmation,0,0,0,0,0,0,0,16,0,0
MEG_1095/Drugs/Aminoglycosides/Aminoglycoside_O-phosphotransferases/APH6,21,27,13,11,6,4,2,5,4,44
MEG_3842/Metals/Mercury_resistance/Mercury_resistance_protein/MERA,8,0,0,0,0,0,0,12,0,0
MEG_3599/Multi-compound/Drug_and_biocide_resistance/Drug_and_biocide_MFS_efflux_pumps/LMRS,108,0,68,0,76,0,0,0,0,148
MEG_1084/Drugs/Aminoglycosides/Aminoglycoside_O-phosphotransferases/APH6,40,46,1,8,5,8,8,12,9,41
MEG_2966/Drugs/Sulfonamides/Sulfonamide-resistant_dihydropteroate_synthases/FOLP/RequiresSNPConfirmation,0,0,0,0,0,0,0,7,0,0
MEG_5372/Drugs/Aminocoumarins/Aminocoumarin-resistant_DNA_topoisomerases/PARE/RequiresSNPConfirmation,0,0,0,0,0,0,0,0,84,134
MEG_3198/Drugs/Fluoroquinolones/Fluoroquinolone-resistant_DNA_topoisomerases/GYRA/RequiresSNPConfirmation,0,79,43,0,0,0,0,0,0,0
MEG_7853/Metals/Multi-metal_resistance/Multi-metal_resistance_protein/ZNTA,39,28,0,22,42,0,0,0,0,0
MEG_2794/Drugs/MLS/23S_rRNA_methyltransferases/ERMB,0,12,8,18,0,0,0,0,11,18
MEG_6880/Drugs/betalactams/Class_A_betalactamases/TEM,0,0,0,0,0,0,0,0,0,2
MEG_7302/Drugs/Elfamycins/EF-Tu_inhibition/TUFAB/RequiresSNPConfirmation,199,176,166,183,204,202,205,240,428,233
MEG_6762/Drugs/betalactams/Class_A_betalactamases/TEM,0,0,0,0,0,0,0,0,0,2
MEG_6140/Biocides/Multi-biocide_resistance/Multi-biocide_resistance_regulator/RPOS,0,0,0,0,0,0,2,0,9,0
MEG_8147/Drugs/Fluoroquinolones/Fluoroquinolone-resistant_DNA_topoisomerases/GYRA/RequiresSNPConfirmation,114,0,0,0,0,0,0,0,0,92
MEG_2727/Multi-compound/Drug_and_biocide_resistance/Drug_and_biocide_MFS_efflux_pumps/EMRCSM,30,0,0,0,0,0,0,0,0,0
MEG_1293/Drugs/betalactams/Class_A_betalactamases/BLAP,0,0,0,0,0,0,0,0,0,67
MEG_2958/Drugs/Sulfonamides/Sulfonamide-resistant_dihydropteroate_synthases/FOLP/RequiresSNPConfirmation,0,0,16,0,0,0,0,0,0,0
MEG_6901/Drugs/betalactams/Class_A_betalactamases/TEM,0,0,0,0,0,0,0,0,0,6
MEG_3999/Metals/Multi-metal_resistance/Multi-metal_resistance_protein/MNTP,10,0,0,0,0,0,0,0,0,0
MEG_8692/Multi-compound/Drug_and_biocide_resistance/Drug_and_biocide_MFS_efflux_pumps/SDRM,0,0,0,0,0,0,0,0,120,0
MEG_6638/Drugs/Sulfonamides/Sulfonamide-resistant_dihydropteroate_synthases/SULII,18,21,20,57,16,15,11,17,4,22
MEG_1162/Metals/Multi-metal_resistance/Multi-metal_resistance_protein/ARSCM,18,3,0,0,19,0,0,0,3,25
MEG_3759/Multi-compound/Drug_and_biocide_resistance/Drug_and_biocide_MATE_efflux_pumps/MDTK,48,0,0,0,0,0,0,0,0,0
MEG_6756/Drugs/betalactams/Class_A_betalactamases/TEM,0,0,0,0,0,0,0,0,0,8
MEG_3071/Drugs/Fusidic_acid/Fusidic_acid-resistant_mutation/FUSE/RequiresSNPConfirmation,48,76,32,104,16,32,11,26,21,79
MEG_3591/Drugs/Lipopeptides/Daptomycin-resistant_mutant/LIAFSR/RequiresSNPConfirmation,26,24,0,0,0,0,0,0,0,0
MEG_1323/Drugs/betalactams/Class_A_betalactamases/BLAZ,20,0,0,0,0,0,0,0,0,0
MEG_1744/Multi-compound/Drug_and_biocide_and_metal_resistance/Drug_and_biocide_and_metal_RND_efflux_pumps/CMEE,62,0,0,0,108,0,0,80,104,208
MEG_6633/Drugs/Sulfonamides/Sulfonamide-resistant_dihydropteroate_synthases/SULII,26,7,5,61,25,17,28,8,0,11
MEG_7837/Biocides/Multi-biocide_resistance/Multi-biocide_resistance_protein/YJCG,53,58,53,52,28,66,50,54,209,0
MEG_6750/Drugs/betalactams/Class_A_betalactamases/TEM,0,0,0,0,2,0,0,0,0,4
MEG_1463/Multi-compound/Drug_and_biocide_resistance/Drug_and_biocide_MFS_efflux_pumps/BLT,0,0,0,0,0,0,24,0,0,0
MEG_3620/Drugs/MLS/Lincosamide_nucleotidyltransferases/LNUG,20,0,0,0,0,0,34,0,0,40
MEG_3998/Metals/Multi-metal_resistance/Multi-metal_resistance_protein/MNTH,40,0,0,0,0,0,0,0,86,0
MEG_6677/Drugs/betalactams/Class_A_betalactamases/TEM,2,0,0,0,0,0,0,2,0,0
MEG_3639/Drugs/betalactams/Class_B_betalactamases/LRA,0,0,0,0,0,0,0,22,0,0
MEG_6780/Drugs/betalactams/Class_A_betalactamases/TEM,0,0,0,0,0,0,0,0,0,2
MEG_6947/Drugs/betalactams/Class_A_betalactamases/TEM,0,0,0,0,0,0,0,0,0,2
MEG_313/Drugs/Aminoglycosides/Aminoglycoside_N-acetyltransferases/AAC6-PRIME,0,0,0,0,0,10,0,14,0,0
MEG_4053/Drugs/Cationic_antimicrobial_peptides/Defensin-resistant_mprF/MPRF,0,0,0,0,0,156,0,0,0,0
MEG_6572/Biocides/Multi-biocide_resistance/Multi-biocide_SMR_efflux_pump/SSME,2,0,0,0,0,0,0,6,0,0
MEG_4284/Drugs/betalactams/Mutant_porin_proteins/OMP38,0,0,0,0,0,0,0,12,0,0
MEG_3735/Biocides/Multi-biocide_resistance/Multi-biocide_resistance_protein/MDEA,0,0,0,0,0,0,0,0,0,10
MEG_7033/Drugs/Tetracyclines/Tetracycline_resistance_MFS_efflux_pumps/TETA,2,21,0,6,0,10,0,0,0,17
MEG_5359/Drugs/Fluoroquinolones/Fluoroquinolone-resistant_DNA_topoisomerases/PARC/RequiresSNPConfirmation,15,0,17,0,0,0,12,0,0,17
MEG_7856/Metals/Zinc_resistance/Zinc_resistance_protein/ZNUA,16,12,12,0,14,8,3,12,84,0
MEG_1556/Drugs/Phenicol/Chloramphenicol_acetyltransferases/CAT,0,0,0,22,0,0,18,0,0,0
MEG_2033/Metals/Multi-metal_resistance/Multi-metal_resistance_protein/COPAM,0,0,0,0,0,0,0,0,12,0
MEG_7067/Drugs/Tetracyclines/Tetracycline_resistance_MFS_efflux_pumps/TETC,13,18,28,12,16,30,40,26,10,83
MEG_1151/Metals/Multi-metal_resistance/Multi-metal_resistance_protein/ARSBM,63,32,0,0,76,0,0,0,20,125
MEG_763/Drugs/Aminoglycosides/Aminoglycoside_O-nucleotidyltransferases/ANT3-DPRIME,0,0,0,4,0,0,0,0,0,0
MEG_1574/Drugs/Phenicol/Chloramphenicol_acetyltransferases/CATA,0,0,0,0,0,0,0,0,7,0
MEG_4102/Drugs/Multi-drug_resistance/Multi-drug_RND_efflux_pumps/MUXC,0,0,0,0,32,0,0,28,0,0
MEG_2959/Drugs/Sulfonamides/Sulfonamide-resistant_dihydropteroate_synthases/FOLP/RequiresSNPConfirmation,0,6,0,0,0,0,0,0,0,0
MEG_2458/Metals/Copper_resistance/Copper_resistance_protein/CUTF,11,4,0,8,0,0,0,0,0,0
MEG_6727/Drugs/betalactams/Class_A_betalactamases/TEM,0,0,0,0,0,0,2,0,0,0
MEG_5337/Drugs/Fluoroquinolones/Fluoroquinolone-resistant_DNA_topoisomerases/PARC/RequiresSNPConfirmation,108,127,110,104,145,142,72,99,182,226
MEG_3753/Multi-compound/Drug_and_biocide_resistance/Drug_and_biocide_MFS_efflux_pumps/MDTG,6,4,0,0,0,0,0,0,0,0
MEG_3610/Drugs/MLS/Lincosamide_nucleotidyltransferases/LNUC,0,0,0,8,0,0,0,0,4,0
MEG_7169/Drugs/Tetracyclines/Tetracycline_resistance_ribosomal_protection_proteins/TETO,40,26,8,20,8,6,4,12,8,4
MEG_5333/Drugs/Fluoroquinolones/Fluoroquinolone-resistant_DNA_topoisomerases/PARC/RequiresSNPConfirmation,50,0,0,26,0,0,0,0,45,0
MEG_6103/Drugs/Rifampin/Rifampin-resistant_beta-subunit_of_RNA_polymerase_RpoB/RPOB/RequiresSNPConfirmation,215,274,167,383,226,242,125,199,259,452
MEG_3872/Metals/Mercury_resistance/Mercury_resistance_protein/MERH,0,0,6,0,0,0,0,0,0,0
