gene_accession,CRA02e_t2_M_BC,CRA01u_t2_M_BC,CRA05e_t2_M_QC,CRA01e_t2_M_BC,CRA04u_t2_M_QC,CRA03u_t2_M_BC,CRA03e_t2_M_BC,CRA02u_t2_M_BC,CRA04e_t2_M_QC,CRA05u_t2_M_QC
MEG_3665/Metals/Multi-metal_resistance/Multi-metal_resistance_protein/MCO,0,0,78,0,0,0,0,0,68,0
MEG_3986/Drugs/MLS/Macrolide-resistant_23S_rRNA_mutation/MLS23S/RequiresSNPConfirmation,2399,1305,1299,1316,2175,1478,1382,1551,1499,4023
MEG_5394/Drugs/Fluoroquinolones/Fluoroquinolone-resistant_DNA_topoisomerases/PAREF/RequiresSNPConfirmation,183,70,140,150,122,190,113,129,166,265
MEG_7489/Drugs/Glycopeptides/VanA-type_regulator/VANSA,16,0,0,0,0,0,0,0,0,0
MEG_2980/Drugs/betalactams/Class_A_betalactamases/FONA,0,0,4,0,0,7,0,0,0,0
MEG_313/Drugs/Aminoglycosides/Aminoglycoside_N-acetyltransferases/AAC6-PRIME,0,0,8,0,0,0,0,0,26,8
MEG_8409/Drugs/betalactams/Class_D_betalactamases/OXA,0,0,0,0,0,0,0,0,14,0
MEG_998/Drugs/Aminoglycosides/Aminoglycoside_O-nucleotidyltransferases/ANT6,34,0,26,0,0,0,0,0,60,84
MEG_8080/Drugs/Lipopeptides/Colistin_phosphoethanolamine_transferase/EPTB,0,0,7,0,0,40,33,0,30,51
MEG_6101/Drugs/Rifampin/Rifampin-resistant_beta-subunit_of_RNA_polymerase_RpoB/RPOB/RequiresSNPConfirmation,98,45,144,78,88,119,60,117,146,131
MEG_6783/Drugs/betalactams/Class_A_betalactamases/TEM,0,0,0,0,0,2,0,0,0,0
MEG_1771/Drugs/Phenicol/Phenicol_resistance_MFS_efflux_pumps/CMLA,0,0,0,0,0,0,0,0,0,2
MEG_7459/Drugs/Glycopeptides/VanA-type_regulator/VANRA,10,0,0,0,0,0,0,0,0,0
MEG_1078/Drugs/Aminoglycosides/Aminoglycoside_O-phosphotransferases/APH3-PRIME,0,0,0,0,0,0,4,0,0,0
MEG_6549/Biocides/Multi-biocide_resistance/Multi-biocide_resistance_regulator/SOXRB,2,2,2,0,0,25,17,0,8,9
MEG_2924/Drugs/Phenicol/Phenicol_resistance_MFS_efflux_pumps/FLOR,0,0,0,0,0,0,0,0,0,2
MEG_7325/Metals/Tungsten_Resistance/Tungsten_ABC_efflux_pumps/TUPC,0,0,0,0,0,0,0,0,24,0
MEG_3070/Drugs/Fusidic_acid/Ribosomal_zinc-binding_protein/FUSD,0,10,0,0,0,20,0,0,32,0
MEG_2753/Drugs/MLS/Macrolide_esterases/EREB,0,0,0,0,0,0,0,0,14,0
MEG_6503/Metals/Multi-metal_resistance/Multi-metal_RND_efflux_pumps/SILE,0,0,0,0,0,0,2,0,0,0
MEG_6603/Drugs/Sulfonamides/Sulfonamide-resistant_dihydropteroate_synthases/SULI,0,0,0,0,1,0,0,0,0,0
MEG_6980/Drugs/Tetracyclines/Tetracycline_inactivation_enzymes/TET37,0,0,6,0,0,0,0,0,8,0
MEG_2044/Metals/Copper_resistance/Copper_resistance_protein/COPC,0,0,0,0,0,0,0,0,6,0
MEG_7251/Drugs/betalactams/Class_A_betalactamases/TLA,0,0,14,0,20,0,0,0,0,0
MEG_1237/Drugs/betalactams/Class_A_betalactamases/BLA1,0,0,0,0,0,0,0,36,20,0
MEG_6127/Drugs/Rifampin/Rifampin-resistant_beta-subunit_of_RNA_polymerase_RpoB/RPOB/RequiresSNPConfirmation,0,34,0,42,0,0,84,78,30,161
MEG_4827/Drugs/betalactams/Class_D_betalactamases/OXA,0,0,0,0,0,0,0,0,12,0
MEG_4662/Drugs/betalactams/Class_D_betalactamases/OXA,0,0,0,0,14,28,0,0,12,0
MEG_3978/Drugs/MLS/Macrolide-resistant_23S_rRNA_mutation/MLS23S/RequiresSNPConfirmation,2886,735,2136,590,1631,1301,801,898,1422,2409
MEG_7134/Drugs/Tetracyclines/Tetracycline_resistance_ribosomal_protection_proteins/TETM,67,53,27,47,29,27,36,187,8,38
MEG_1287/Drugs/betalactams/Penicillin_binding_protein_regulator/BLAI,0,4,6,0,0,0,0,0,10,0
MEG_3127/Drugs/betalactams/Class_A_betalactamases/GES,0,0,0,0,16,0,0,0,0,0
MEG_2632/Drugs/Trimethoprim/Dihydrofolate_reductase/DHFR/RequiresSNPConfirmation,0,0,8,0,0,0,0,0,8,0
MEG_4798/Drugs/betalactams/Class_D_betalactamases/OXA,0,0,0,0,0,0,0,0,68,0
MEG_8407/Drugs/betalactams/Class_D_betalactamases/OXA,0,0,0,0,0,0,0,0,16,0
MEG_181/Drugs/Aminoglycosides/Aminoglycoside_N-acetyltransferases/AAC6-PRIME,0,0,0,0,0,0,0,0,0,10
MEG_2091/Metals/Multi-metal_resistance/Multi-metal_resistance_protein/CORC,42,12,38,24,0,53,44,24,41,58
MEG_3198/Drugs/Fluoroquinolones/Fluoroquinolone-resistant_DNA_topoisomerases/GYRA/RequiresSNPConfirmation,57,0,41,0,0,52,0,0,46,0
MEG_7004/Drugs/Tetracyclines/Tetracycline_resistance_MFS_efflux_pumps/TET51,0,0,0,0,0,28,0,44,0,0
MEG_915/Drugs/Aminoglycosides/Aminoglycoside_O-nucleotidyltransferases/ANT3-DPRIME,0,2,0,0,0,1,0,11,0,0
MEG_2716/Biocides/Multi-biocide_resistance/Multi-biocide_RND_efflux_pump/EMHB,0,0,0,0,0,0,32,0,0,0
MEG_6890/Drugs/betalactams/Class_A_betalactamases/TEM,0,0,0,2,0,0,0,0,0,0
MEG_2799/Drugs/MLS/23S_rRNA_methyltransferases/ERMB,14,20,4,25,0,39,5,47,0,0
MEG_2122/Multi-compound/Drug_and_biocide_resistance/Drug_and_biocide_RND_efflux_regulator/CPXAR,0,0,0,0,0,0,9,0,12,21
MEG_497/Drugs/betalactams/Class_C_betalactamases/ACT,0,0,0,0,0,1,3,0,4,0
MEG_2689/Metals/Multi-metal_resistance/Multi-metal_resistance_protein/DSBB,0,0,0,0,0,4,11,0,0,4
MEG_6979/Drugs/Tetracyclines/Tetracycline_resistance_ribosomal_protection_proteins/TET36,0,0,0,0,0,0,0,0,34,0
MEG_1586/Drugs/Phenicol/Chloramphenicol_acetyltransferases/CATA,0,0,0,0,0,0,0,0,0,10
MEG_2662/Multi-compound/Biocide_and_metal_resistance/Biocide_and_metal_resistance_protein/DPR,0,0,0,0,0,0,0,0,0,18
MEG_7313/Drugs/Elfamycins/EF-Tu_inhibition/TUFAB/RequiresSNPConfirmation,534,236,400,191,254,443,117,500,251,377
MEG_3895/Metals/Mercury_resistance/Mercury_resistance_protein/MERT,0,0,0,0,0,0,0,0,16,0
MEG_3447/Multi-compound/Drug_and_biocide_resistance/Drug_and_biocide_MFS_efflux_pumps/KDEA,16,0,6,0,0,34,21,0,31,81
MEG_1311/Drugs/betalactams/Class_A_betalactamases/BLASGM,0,0,0,0,0,0,0,0,0,22
MEG_6661/Drugs/betalactams/Class_A_betalactamases/TEM,0,0,0,0,0,0,0,2,0,0
MEG_73/Drugs/Aminoglycosides/Aminoglycoside_N-acetyltransferases/AAC6-PRIME,0,0,4,0,0,0,0,0,0,0
MEG_4047/Drugs/MLS/Macrolide_phosphotransferases/MPHI,0,26,0,0,0,0,0,0,0,0
MEG_6116/Drugs/Rifampin/Rifampin-resistant_beta-subunit_of_RNA_polymerase_RpoB/RPOB/RequiresSNPConfirmation,136,113,149,0,133,159,0,199,104,194
MEG_7143/Drugs/Tetracyclines/Tetracycline_resistance_ribosomal_protection_proteins/TETM,42,44,22,30,14,24,26,139,17,18
MEG_3220/Drugs/Fluoroquinolones/Fluoroquinolone-resistant_DNA_topoisomerases/GYRA/RequiresSNPConfirmation,55,0,0,0,0,57,47,0,34,50
MEG_408/Multi-compound/Drug_and_biocide_resistance/Drug_and_biocide_RND_efflux_pumps/ACRE,0,0,0,0,0,0,16,0,42,26
MEG_7051/Drugs/Tetracyclines/Tetracycline_resistance_MFS_efflux_pumps/TETB,147,154,168,195,122,174,118,223,171,215
MEG_5357/Drugs/Fluoroquinolones/Fluoroquinolone-resistant_DNA_topoisomerases/PARC/RequiresSNPConfirmation,0,0,0,0,0,84,0,0,0,87
MEG_7321/Drugs/Elfamycins/EF-Tu_inhibition/TUFAB/RequiresSNPConfirmation,318,203,293,146,215,308,123,546,194,446
MEG_4378/Drugs/Tetracyclines/Tetracycline_resistance_ribosomal_protection_proteins/OTRA,0,0,0,0,0,86,0,0,0,0
MEG_3753/Multi-compound/Drug_and_biocide_resistance/Drug_and_biocide_MFS_efflux_pumps/MDTG,0,0,0,0,0,0,33,0,11,13
MEG_7187/Drugs/Tetracyclines/Tetracycline_transcriptional_repressor/TETR/RequiresSNPConfirmation,0,0,0,0,0,0,0,0,4,0
MEG_1172/Metals/Arsenic_resistance/Arsenic_resistance_regulator/ARSR,0,0,0,0,0,0,0,0,8,0
MEG_7024/Drugs/Tetracyclines/Tetracycline_resistance_MFS_efflux_pumps/TETA,6,0,8,14,8,12,0,40,12,37
MEG_7110/Drugs/Tetracyclines/Tetracycline_resistance_ribosomal_protection_proteins/TETM,66,50,15,60,6,26,8,131,22,30
MEG_6619/Drugs/Sulfonamides/Sulfonamide-resistant_dihydropteroate_synthases/SULII,10,2,10,7,0,0,2,12,5,4
MEG_2454/Metals/Copper_resistance/Copper_resistance_protein/CUTA,0,0,0,0,0,0,12,5,8,38
MEG_6526/Multi-compound/Drug_and_biocide_resistance/Drug_and_biocide_RND_efflux_pumps/SME,0,0,0,0,0,0,24,0,0,0
MEG_2692/Metals/Multi-metal_resistance/Multi-metal_resistance_protein/DSBC,0,0,0,0,0,0,0,0,17,11
MEG_4031/Drugs/MLS/Macrolide_phosphotransferases/MPHB,0,0,0,0,0,0,0,0,78,0
MEG_5269/Drugs/betalactams/Class_D_betalactamases/OXA,0,0,8,0,0,0,0,0,0,0
MEG_4160/Metals/Chromium_resistance/Chromium_resistance_protein/NFSA,0,0,0,0,0,4,18,0,12,12
MEG_6958/Metals/Tellurium_resistance/Tellurium_resistance_protein/TERD,0,0,10,4,16,12,6,0,0,36
MEG_7533/Drugs/Glycopeptides/VanL-type_resistance_protein/VANTML,0,0,0,0,0,0,0,0,94,0
MEG_7301/Drugs/Elfamycins/EF-Tu_inhibition/TUFAB/RequiresSNPConfirmation,186,188,356,150,136,360,144,176,326,422
MEG_2680/Metals/Multi-metal_resistance/Multi-metal_resistance_protein/DSBA,0,0,0,0,0,0,0,0,0,8
MEG_2733/Multi-compound/Drug_and_biocide_resistance/Drug_and_biocide_MFS_efflux_pumps/EMRK,0,0,0,0,0,0,10,0,0,16
MEG_8252/Drugs/MLS/Macrolide-resistant_23S_rRNA_mutation/MLS23S/RequiresSNPConfirmation,1892,1159,2019,895,1533,1465,702,1440,1780,2478
MEG_5380/Drugs/Aminocoumarins/Aminocoumarin-resistant_DNA_topoisomerases/PARE/RequiresSNPConfirmation,0,0,78,0,0,0,0,0,0,0
MEG_2983/Drugs/Fosfomycin/Fosfomycin_thiol_transferases/FOSA,0,0,0,0,0,0,0,0,0,6
MEG_6925/Drugs/betalactams/Class_A_betalactamases/TEM,2,0,0,0,0,0,6,2,4,0
MEG_7223/Drugs/Tetracyclines/Tetracycline_resistance_ribosomal_protection_proteins/TETW,8,26,6,8,4,17,22,65,26,28
MEG_2539/Drugs/Trimethoprim/Dihydrofolate_reductase/DFRA,0,0,0,0,0,0,0,0,6,0
MEG_3273/Drugs/Multi-drug_resistance/Multi-drug_MFS_efflux_pumps/HP,0,0,0,0,0,0,0,0,46,0
MEG_701/Multi-compound/Drug_and_biocide_resistance/Drug_and_biocide_RND_efflux_regulator/ADEN,0,0,0,0,0,0,0,0,10,0
MEG_1101/Drugs/Aminoglycosides/Aminoglycoside_O-phosphotransferases/APH9,0,0,0,0,0,0,0,0,36,0
MEG_7225/Drugs/Tetracyclines/Tetracycline_resistance_ribosomal_protection_proteins/TETW,43,18,29,22,0,40,14,80,16,54
MEG_7488/Drugs/Glycopeptides/VanA-type_regulator/VANSA,49,0,0,0,0,12,0,0,0,0
MEG_1174/Metals/Multi-metal_resistance/Multi-metal_resistance_protein/ARSRM,8,0,0,4,0,0,0,0,0,0
MEG_7833/Multi-compound/Biocide_and_metal_resistance/Biocide_and_metal_resistance_protein/YHCN,0,0,0,0,0,0,1,0,0,8
MEG_2619/Drugs/Trimethoprim/Dihydrofolate_reductase/DHFR/RequiresSNPConfirmation,0,0,0,0,0,0,0,0,0,3
MEG_2457/Metals/Copper_resistance/Copper_resistance_protein/CUTE,0,15,18,0,0,20,39,0,27,52
MEG_2115/Multi-compound/Drug_and_biocide_resistance/Drug_and_biocide_RND_efflux_regulator/CPXAR,28,25,14,22,0,92,37,0,53,96
MEG_3083/Multi-compound/Drug_and_biocide_resistance/Drug_and_biocide_RND_efflux_regulator/GADX,0,0,0,0,0,0,14,0,22,22
MEG_7262/Drugs/Nucleosides/Tunicamycin_resistance_protein/TMRB,0,0,0,0,0,0,0,0,26,0
MEG_6144/Drugs/Aminoglycosides/Aminoglycoside-resistant_30S_ribosomal_protein_S12/RPSL/RequiresSNPConfirmation,65,78,116,47,167,226,80,145,99,373
MEG_3983/Drugs/MLS/Macrolide-resistant_23S_rRNA_mutation/MLS23S/RequiresSNPConfirmation,1863,2539,1726,2262,2452,1803,2240,2877,2109,4578
MEG_7263/Biocides/Multi-biocide_resistance/Multi-biocide_RND_efflux_pump/TOLC,0,0,0,0,0,22,6,0,10,34
MEG_6699/Drugs/betalactams/Class_A_betalactamases/TEM,0,0,0,0,0,0,0,2,0,0
MEG_8677/Drugs/Aminoglycosides/Aminoglycoside-resistant_16S_ribosomal_subunit_protein/RPSL/RequiresSNPConfirmation,212,115,151,61,139,179,109,130,112,158
MEG_933/Drugs/Aminoglycosides/Aminoglycoside_O-nucleotidyltransferases/ANT3-DPRIME,0,0,0,0,0,0,0,2,0,0
MEG_2020/Metals/Copper_resistance/Copper_resistance_protein/COPA,43,18,0,26,0,68,39,0,71,93
MEG_7676/Drugs/Multi-drug_resistance/Multi-drug_ABC_efflux_pumps/VGA,0,0,0,0,0,0,0,0,26,0
MEG_7470/Drugs/Glycopeptides/VanC-type_regulator/VANRC,228,29,20,38,0,32,0,125,24,26
MEG_1575/Drugs/Phenicol/Chloramphenicol_acetyltransferases/CATA,6,0,0,0,0,0,7,0,0,0
MEG_7823/Metals/Multi-metal_resistance/Multi-metal_resistance_protein/YFEA,0,17,29,30,0,21,0,23,0,0
MEG_7237/Drugs/Tetracyclines/Tetracycline_resistance_ribosomal_protection_proteins/TETW,6,2,4,6,0,4,6,24,8,4
MEG_5333/Drugs/Fluoroquinolones/Fluoroquinolone-resistant_DNA_topoisomerases/PARC/RequiresSNPConfirmation,0,0,0,0,0,24,30,0,35,58
MEG_7309/Drugs/Elfamycins/EF-Tu_inhibition/TUFAB/RequiresSNPConfirmation,331,183,270,204,214,291,159,282,315,480
MEG_7530/Drugs/Glycopeptides/VanE-type_resistance_protein/VANTE,0,0,108,0,0,0,0,0,576,0
MEG_2086/Metals/Multi-metal_resistance/Multi-metal_resistance_protein/CORA,0,12,0,0,0,33,21,0,4,29
MEG_2477/Metals/Multi-metal_resistance/Multi-metal_RND_efflux_pumps/CZNB,74,0,70,0,0,118,0,0,70,110
MEG_3216/Drugs/Fluoroquinolones/Fluoroquinolone-resistant_DNA_topoisomerases/GYRA/RequiresSNPConfirmation,102,0,64,0,0,0,0,0,175,0
MEG_6963/Drugs/Tetracyclines/Tetracycline-resistant_16S_ribosomal_subunit_protein/TET16S/RequiresSNPConfirmation,1829,1798,1463,1336,1446,2168,1462,2989,1390,3204
MEG_1730/Drugs/Lipopeptides/Daptomycin-resistant_mutant/CLS/RequiresSNPConfirmation,0,62,86,0,0,0,0,68,94,0
MEG_2022/Metals/Copper_resistance/Copper_resistance_protein/COPA,0,0,24,0,0,0,0,0,0,0
MEG_8646/Multi-compound/Drug_and_biocide_resistance/Drug_and_biocide_SMR_efflux_pumps/QACD,0,0,0,0,0,0,0,0,60,64
MEG_3600/Drugs/MLS/Lincosamide_nucleotidyltransferases/LNUA,6,0,0,0,0,0,0,0,0,0
MEG_3185/Drugs/Fluoroquinolones/Fluoroquinolone-resistant_DNA_topoisomerases/GYRA/RequiresSNPConfirmation,116,0,0,0,0,117,0,74,110,0
MEG_7862/Metals/Zinc_resistance/Zinc_resistance_regulator/ZRAR,0,0,6,0,0,0,15,0,18,41
MEG_5849/Multi-compound/Drug_and_biocide_resistance/Drug_and_biocide_SMR_efflux_pumps/QACJ,4,0,0,0,0,0,0,4,16,0
MEG_7173/Drugs/Tetracyclines/Tetracycline_resistance_ribosomal_protection_proteins/TETO,14,12,30,12,10,12,8,56,16,34
MEG_6095/Drugs/Rifampin/Rifampin-resistant_beta-subunit_of_RNA_polymerase_RpoB/RPOB/RequiresSNPConfirmation,103,77,0,39,0,164,0,0,106,163
MEG_7621/Drugs/MLS/Streptogramin_A_O-acetyltransferase/VATA,0,0,0,8,0,0,0,0,12,14
MEG_1059/Drugs/Aminoglycosides/Aminoglycoside_O-phosphotransferases/APH3-PRIME,0,12,0,0,0,0,0,0,0,10
MEG_2768/Drugs/MLS/23S_rRNA_methyltransferases/ERM,0,0,0,8,0,20,0,0,20,0
MEG_5825/Multi-compound/Drug_and_biocide_resistance/Drug_and_biocide_SMR_efflux_pumps/QACC,0,0,10,0,4,0,0,0,8,10
MEG_7863/Metals/Multi-metal_resistance/Multi-metal_resistance_regulator/ZRAS,0,0,0,0,0,0,1,0,0,5
MEG_2796/Drugs/MLS/23S_rRNA_methyltransferases/ERMB,12,4,0,19,0,2,1,8,0,0
MEG_8639/Drugs/Multi-drug_resistance/Multi-drug_ABC_efflux_pumps/POXT,232,0,110,86,0,142,68,168,74,0
MEG_8440/Drugs/betalactams/Class_D_betalactamases/OXA,0,0,60,0,0,0,0,0,44,0
MEG_7304/Drugs/Elfamycins/EF-Tu_inhibition/TUFAB/RequiresSNPConfirmation,67,0,18,29,19,26,0,22,72,18
MEG_1003/Drugs/Aminoglycosides/Aminoglycoside_O-nucleotidyltransferases/ANT9,82,0,0,24,0,36,0,0,14,0
MEG_7128/Drugs/Tetracyclines/Tetracycline_resistance_ribosomal_protection_proteins/TETM,78,30,8,36,13,34,19,127,12,31
MEG_8447/Drugs/Fluoroquinolones/Fluoroquinolone-resistant_DNA_topoisomerases/PARC/RequiresSNPConfirmation,63,32,44,34,32,55,32,26,46,63
MEG_7064/Drugs/Tetracyclines/Tetracycline_resistance_MFS_efflux_pumps/TETC,76,16,0,0,6,68,4,4,8,8
MEG_1283/Drugs/betalactams/Class_C_betalactamases/BLAEC,0,0,0,0,0,0,0,0,2,0
MEG_7083/Drugs/Tetracyclines/Tetracycline_resistance_MFS_efflux_pumps/TETH,48,52,67,34,0,31,40,66,18,15
MEG_7229/Drugs/Tetracyclines/Tetracycline_resistance_ribosomal_protection_proteins/TETW,37,85,54,62,42,55,52,135,34,145
MEG_4286/Drugs/Multi-drug_resistance/MDR_mutant_porin_proteins/OMPF/RequiresSNPConfirmation,0,0,0,15,0,14,0,0,11,0
MEG_3802/Drugs/betalactams/Penicillin_binding_protein_regulator/MECI,0,0,0,0,0,0,0,0,8,0
MEG_6729/Drugs/betalactams/Class_A_betalactamases/TEM,0,0,0,0,0,0,2,0,0,0
MEG_3870/Metals/Mercury_resistance/Mercury_resistance_protein/MERF,0,0,0,0,0,10,0,0,0,10
MEG_1099/Drugs/Aminoglycosides/Aminoglycoside_O-phosphotransferases/APH9,150,122,28,0,134,110,284,132,64,0
MEG_1045/Drugs/Aminoglycosides/Aminoglycoside_O-phosphotransferases/APH3-DPRIME,12,14,15,4,0,25,7,12,0,0
MEG_1165/Metals/Arsenic_resistance/Arsenic_resistance_protein/ARSD,0,0,0,0,0,0,6,0,0,0
MEG_7219/Drugs/Tetracyclines/Tetracycline_resistance_ribosomal_protection_proteins/TETW,6,4,2,4,0,4,0,13,0,8
MEG_493/Drugs/betalactams/Class_C_betalactamases/ACT,0,0,6,0,0,0,0,0,0,0
MEG_7905/Drugs/betalactams/Class_C_betalactamases/ACT,0,0,0,0,0,28,0,0,0,0
MEG_7220/Drugs/Tetracyclines/Tetracycline_resistance_ribosomal_protection_proteins/TETW,7,2,9,2,0,0,0,15,6,10
MEG_4177/Metals/Nickel_resistance/Nickel_ABC_efflux_regulator/NIKR,0,0,0,0,0,1,8,0,2,18
MEG_2797/Drugs/MLS/23S_rRNA_methyltransferases/ERMB,0,6,0,16,0,16,4,3,0,0
MEG_4030/Drugs/MLS/Macrolide_phosphotransferases/MPHA,0,0,0,0,0,0,0,0,0,37
MEG_6956/Metals/Tellurium_resistance/Tellurium_resistance_protein/TERB,0,0,0,0,0,0,1,0,0,0
MEG_3882/Metals/Mercury_resistance/Mercury_resistance_regulator/MERR,42,18,0,0,6,72,10,24,6,0
MEG_2941/Drugs/Sulfonamides/Sulfonamide-resistant_dihydropteroate_synthases/FOLP/RequiresSNPConfirmation,0,0,0,0,28,0,38,0,0,64
MEG_894/Drugs/Aminoglycosides/Aminoglycoside_O-nucleotidyltransferases/ANT3-DPRIME,0,0,0,0,0,0,0,0,0,2
MEG_1732/Drugs/Lipopeptides/Daptomycin-resistant_mutant/CLS/RequiresSNPConfirmation,0,0,36,0,86,57,46,0,82,0
MEG_400/Multi-compound/Drug_and_biocide_resistance/Drug_and_biocide_RND_efflux_pumps/ACRA,0,0,0,0,0,122,61,0,0,72
MEG_2926/Drugs/Phenicol/Phenicol_resistance_MFS_efflux_pumps/FLOR,0,0,0,0,0,0,0,0,0,2
MEG_3975/Drugs/MLS/Macrolide-resistant_23S_rRNA_mutation/MLS23S/RequiresSNPConfirmation,503,639,920,448,880,1190,625,1375,822,2003
MEG_7846/Metals/Zinc_resistance/Zinc_resistance_protein/ZEVB,44,0,20,0,0,0,0,0,24,0
MEG_7842/Multi-compound/Drug_and_biocide_resistance/Drug_and_biocide_ABC_efflux_pumps/YOGI,0,0,50,10,0,13,18,0,65,93
MEG_398/Metals/Arsenic_resistance/Arsenic_resistance_membrane_transporter/ACR3,54,0,48,46,54,62,0,94,68,114
MEG_1006/Drugs/Aminoglycosides/Aminoglycoside_O-nucleotidyltransferases/ANT9,70,18,0,44,32,36,14,34,42,30
MEG_3414/Drugs/betalactams/Class_B_betalactamases/IND,0,0,0,0,0,0,10,0,0,0
MEG_5336/Drugs/Fluoroquinolones/Fluoroquinolone-resistant_DNA_topoisomerases/PARC/RequiresSNPConfirmation,60,16,0,0,50,0,0,0,0,0
MEG_5388/Drugs/Aminocoumarins/Aminocoumarin-resistant_DNA_topoisomerases/PARE/RequiresSNPConfirmation,120,94,115,86,0,118,64,91,149,133
MEG_3513/Multi-compound/Drug_and_biocide_resistance/Drug_and_biocide_MFS_efflux_pumps/KPN,20,14,18,0,0,45,45,0,38,67
MEG_1193/Multi-compound/Drug_and_biocide_and_metal_resistance/Drug_and_biocide_and_metal_RND_efflux_regulator/BAES,0,18,10,0,0,0,17,0,42,48
MEG_1299/Drugs/betalactams/Penicillin_binding_protein_regulator/BLAR,0,0,0,0,0,0,0,0,72,0
MEG_1163/Metals/Multi-metal_resistance/Multi-metal_resistance_protein/ARSCM,0,0,0,0,0,0,0,0,6,0
MEG_1245/Drugs/betalactams/Class_A_betalactamases/BLAA,0,30,0,0,0,38,26,0,48,42
MEG_4110/Drugs/Multi-drug_resistance/Multi-drug_RND_efflux_regulator/NALD/RequiresSNPConfirmation,0,0,0,0,0,0,0,16,0,0
MEG_6132/Drugs/Rifampin/Rifampin-resistant_beta-subunit_of_RNA_polymerase_RpoB/RPOB/RequiresSNPConfirmation,258,204,327,189,179,223,155,348,194,412
MEG_4114/Metals/Multi-metal_resistance/Multi-metal_resistance_regulator/NCCH,0,0,0,0,0,0,0,0,22,22
MEG_8091/Drugs/Fosfomycin/Fosfomycin_thiol_transferases/FOSM,0,0,0,0,0,0,0,0,8,0
MEG_3977/Drugs/MLS/Macrolide-resistant_23S_rRNA_mutation/MLS23S/RequiresSNPConfirmation,16567,14437,20260,15168,15485,19062,12030,20771,18323,31924
MEG_1727/Drugs/Multi-drug_resistance/MDR_23S_ribosomal_RNA_methyltransferase/CLBB,10,0,0,0,0,5,0,84,0,0
MEG_7327/Drugs/Multi-drug_resistance/Multi-drug_ABC_efflux_pumps/TVAA,0,0,0,0,0,0,0,0,76,0
MEG_6020/Drugs/Fluoroquinolones/Quinolone_resistance_protein_Qnr/QNRS,0,0,0,0,0,0,0,0,0,6
MEG_3230/Drugs/Fluoroquinolones/Fluoroquinolone-resistant_DNA_topoisomerases/GYRA/RequiresSNPConfirmation,0,0,0,0,0,0,0,36,0,0
MEG_6582/Drugs/Sulfonamides/Sulfonamide-resistant_dihydropteroate_synthases/SULI,8,4,14,8,0,6,2,22,8,10
MEG_7001/Drugs/Tetracyclines/Tetracycline_resistance_MFS_efflux_pumps/TET48,0,0,0,0,0,0,0,0,40,0
MEG_4105/Drugs/betalactams/Class_B_betalactamases/MYO,0,14,14,0,0,0,0,0,30,0
MEG_7682/Drugs/Multi-drug_resistance/Multi-drug_ABC_efflux_pumps/VGA,0,0,50,0,0,0,0,0,88,0
MEG_5403/Drugs/betalactams/Penicillin_binding_protein/PBP2,0,0,0,0,0,0,0,0,6,4
MEG_7264/Biocides/Multi-biocide_resistance/Multi-biocide_RND_efflux_pump/TOLC,20,0,6,8,0,0,21,0,16,28
MEG_7798/Biocides/Multi-biocide_resistance/Multi-biocide_RND_efflux_pump/VMEU,0,0,0,0,0,0,0,0,16,0
MEG_6040/Drugs/betalactams/Class_D_betalactamases/R39,0,0,0,0,0,0,0,0,20,0
MEG_1010/Drugs/Aminoglycosides/Aminoglycoside_O-phosphotransferases/APH2-DPRIME,0,0,26,0,0,0,0,0,80,0
MEG_1048/Drugs/Aminoglycosides/Aminoglycoside_O-phosphotransferases/APH3-DPRIME,0,0,0,0,0,0,0,0,14,0
MEG_1282/Drugs/betalactams/Class_C_betalactamases/BLAEC,0,0,0,0,0,0,0,0,6,5
MEG_8171/Drugs/Mycobacterium_tuberculosis-specific_Drug/Isoniazid-resistant_mutant/KATG/RequiresSNPConfirmation,0,0,0,0,0,10,0,0,0,0
MEG_7203/Drugs/Tetracyclines/Tetracycline_resistance_ribosomal_protection_proteins/TETT,0,0,0,0,0,0,0,0,298,0
MEG_2088/Metals/Multi-metal_resistance/Multi-metal_resistance_protein/CORB,0,37,35,0,0,57,28,37,44,93
MEG_7175/Drugs/Tetracyclines/Tetracycline_resistance_ribosomal_protection_proteins/TETO,0,0,0,0,2,0,0,0,0,0
MEG_3025/Drugs/Fosfomycin/Fosfomycin_thiol_transferases/FOSX,0,0,0,0,0,12,0,0,0,0
MEG_8454/Drugs/betalactams/Penicillin_binding_protein/PBP1/RequiresSNPConfirmation,0,0,98,0,0,124,0,0,0,0
MEG_4350/Multi-compound/Drug_and_biocide_resistance/Drug_and_biocide_RND_efflux_pumps/OQXB,0,0,0,0,0,0,0,0,0,6
MEG_5854/Multi-compound/Drug_and_biocide_resistance/Drug_and_biocide_SMR_efflux_pumps/QACL,0,0,0,0,0,0,0,0,14,0
MEG_6172/Multi-compound/Drug_and_biocide_resistance/Drug_and_biocide_RND_efflux_pumps/SDEA,0,74,60,0,52,0,0,0,96,0
MEG_7820/Biocides/Acid_resistance/Acid_resistance_protein/YDEP,0,0,0,0,0,0,0,0,18,38
MEG_5149/Drugs/betalactams/Class_D_betalactamases/OXA,0,0,0,0,0,0,0,0,28,0
MEG_8249/Drugs/MLS/Macrolide-resistant_23S_rRNA_mutation/MLS23S/RequiresSNPConfirmation,14657,12118,18168,12966,13413,17584,10363,17386,16408,28238
