gene_accession,CAS05u_t2_M_AB,CAS04e_t2_M_AB,CAS01e_t2_M_AB,CAS03u_t2_M_AB,CAS02e_t2_M_AB,CAS04u_t2_M_AB,CAS03e_t2_M_AB,CAS05e_t2_M_AB,CAS01u_t2_M_AB,CAS02u_t2_M_AB
MEG_3179/Drugs/Fluoroquinolones/Fluoroquinolone-resistant_DNA_topoisomerases/GYRA/RequiresSNPConfirmation,231,187,146,160,231,203,200,195,261,142
MEG_6621/Drugs/Sulfonamides/Sulfonamide-resistant_dihydropteroate_synthases/SULII,13,9,14,13,17,13,21,14,29,27
MEG_935/Drugs/Aminoglycosides/Aminoglycoside_O-nucleotidyltransferases/ANT3-DPRIME,0,0,0,0,56,0,0,0,0,0
MEG_6132/Drugs/Rifampin/Rifampin-resistant_beta-subunit_of_RNA_polymerase_RpoB/RPOB/RequiresSNPConfirmation,155,172,145,203,267,224,139,184,263,214
MEG_7170/Drugs/Tetracyclines/Tetracycline_resistance_ribosomal_protection_proteins/TETO,20,20,6,2,12,18,16,20,8,6
MEG_7621/Drugs/MLS/Streptogramin_A_O-acetyltransferase/VATA,0,8,0,0,0,0,0,0,0,8
MEG_8008/Drugs/betalactams/Class_A_betalactamases/BLAZ,0,0,0,0,0,0,0,0,0,26
MEG_6120/Drugs/Rifampin/Rifampin-resistant_beta-subunit_of_RNA_polymerase_RpoB/RPOB/RequiresSNPConfirmation,0,0,0,213,204,0,0,0,289,230
MEG_2675/Metals/Multi-metal_resistance/Multi-metal_resistance_protein/DSBA,0,0,0,0,0,0,0,2,0,0
MEG_6773/Drugs/betalactams/Class_A_betalactamases/TEM,0,0,0,0,0,0,0,0,2,0
MEG_2093/Metals/Multi-metal_resistance/Multi-metal_resistance_protein/CORD,2,0,0,0,2,0,11,19,0,0
MEG_7003/Drugs/Tetracyclines/Tetracycline_resistance_MFS_efflux_pumps/TET50,0,0,48,84,0,0,0,54,0,86
MEG_7824/Metals/Multi-metal_resistance/Multi-metal_resistance_protein/YFEB,66,112,70,55,120,83,179,148,136,193
MEG_4748/Drugs/betalactams/Class_D_betalactamases/OXA,0,84,50,0,86,0,54,0,0,90
MEG_7141/Drugs/Tetracyclines/Tetracycline_resistance_ribosomal_protection_proteins/TETM,16,19,10,12,10,24,7,27,10,25
MEG_2452/Metals/Multi-metal_resistance/Multi-metal_RND_efflux_regulator/CUSR,0,0,0,2,11,30,41,38,19,0
MEG_2792/Drugs/MLS/23S_rRNA_methyltransferases/ERMB,0,12,2,4,14,4,6,10,7,0
MEG_6777/Drugs/betalactams/Class_A_betalactamases/TEM,0,2,0,0,0,0,0,0,0,0
MEG_799/Drugs/Aminoglycosides/Aminoglycoside_O-nucleotidyltransferases/ANT3-DPRIME,0,1,0,0,0,0,0,0,0,0
MEG_2692/Metals/Multi-metal_resistance/Multi-metal_resistance_protein/DSBC,4,5,0,0,8,0,25,12,0,0
MEG_1685/Drugs/Multi-drug_resistance/MDR_23S_ribosomal_RNA_methyltransferase/CFRC,0,34,0,0,0,0,0,0,0,0
MEG_1485/Metals/Multi-metal_resistance/Multi-metal_resistance_regulator/CADC,42,58,0,44,54,80,54,44,60,88
MEG_2990/Drugs/Fosfomycin/Fosfomycin_thiol_transferases/FOSA,0,23,0,0,21,0,16,37,0,0
MEG_2805/Drugs/MLS/23S_rRNA_methyltransferases/ERMB,4,1,0,5,12,2,4,15,12,0
MEG_1308/Drugs/betalactams/Class_A_betalactamases/BLASGM,0,0,0,0,0,0,76,0,0,0
MEG_6717/Drugs/betalactams/Class_A_betalactamases/TEM,0,0,0,0,0,2,0,0,0,0
MEG_6138/Drugs/Glycopeptides/Vancomycin-resistant_mutation/RPOC/RequiresSNPConfirmation,546,379,364,463,440,514,551,439,552,499
MEG_5325/Drugs/Fluoroquinolones/Fluoroquinolone-resistant_DNA_topoisomerases/PARC/RequiresSNPConfirmation,0,0,0,0,42,0,0,0,0,0
MEG_3994/Drugs/MLS/Macrolide-resistant_23S_rRNA_mutation/MLS23S/RequiresSNPConfirmation,2291,1954,1799,2447,2400,3428,2078,2486,3522,2669
MEG_3752/Multi-compound/Drug_and_biocide_resistance/Drug_and_biocide_RND_efflux_pumps/MDTF,28,0,0,0,0,0,95,134,0,0
MEG_6636/Drugs/Sulfonamides/Sulfonamide-resistant_dihydropteroate_synthases/SULII,21,12,10,10,12,14,20,20,57,10
MEG_7098/Drugs/Tetracyclines/Tetracycline_resistance_MFS_efflux_pumps/TETL,0,12,0,12,75,4,14,52,2,12
MEG_5786/Multi-compound/Drug_and_biocide_resistance/Drug_and_biocide_SMR_efflux_regulator/PHOR,0,48,0,0,38,0,50,123,0,0
MEG_7186/Drugs/Tetracyclines/Tetracycline_transcriptional_repressor/TETR/RequiresSNPConfirmation,0,0,0,0,0,0,6,0,0,0
MEG_2801/Drugs/MLS/23S_rRNA_methyltransferases/ERMB,24,9,4,8,5,5,0,10,14,0
MEG_7472/Drugs/Glycopeptides/VanC-type_regulator/VANRC,42,0,22,60,64,62,30,64,52,60
MEG_7109/Drugs/Tetracyclines/Tetracycline_resistance_ribosomal_protection_proteins/TETM,16,23,20,28,24,37,12,24,31,30
MEG_2673/Metals/Multi-metal_resistance/Multi-metal_resistance_protein/DSBA,0,0,0,0,0,0,4,0,0,0
MEG_3251/Drugs/Fluoroquinolones/Fluoroquinolone-resistant_DNA_topoisomerases/GYRC/RequiresSNPConfirmation,451,834,403,461,541,532,745,578,660,650
MEG_4280/Drugs/betalactams/Mutant_porin_proteins/OMP36/RequiresSNPConfirmation,0,0,0,0,9,0,70,23,8,0
MEG_5849/Multi-compound/Drug_and_biocide_resistance/Drug_and_biocide_SMR_efflux_pumps/QACJ,0,0,0,0,0,0,0,0,10,4
MEG_4361/Multi-compound/Drug_and_biocide_resistance/Drug_and_biocide_RND_efflux_pumps/OQXB,0,0,0,0,0,0,0,8,0,0
MEG_7142/Drugs/Tetracyclines/Tetracycline_resistance_ribosomal_protection_proteins/TETM,33,43,26,34,32,31,24,16,42,43
MEG_2449/Metals/Multi-metal_resistance/Multi-metal_RND_efflux_pumps/CUSC,0,0,0,0,0,0,46,0,0,0
MEG_3177/Drugs/Fluoroquinolones/Fluoroquinolone-resistant_DNA_topoisomerases/GYRA/RequiresSNPConfirmation,32,33,20,0,34,41,45,30,0,32
MEG_2114/Drugs/Phenicol/Chloramphenicol_phosphotransferase/CPT,0,0,0,0,0,0,0,14,20,0
MEG_4012/Metals/Multi-metal_resistance/Multi-metal_ABC_efflux_pumps/MODC,12,0,0,0,2,0,68,40,0,0
MEG_3748/Multi-compound/Drug_and_biocide_and_metal_resistance/Drug_and_biocide_and_metal_RND_efflux_pumps/MDTB,0,4,38,11,34,32,150,66,32,0
MEG_3184/Drugs/Fluoroquinolones/Fluoroquinolone-resistant_DNA_topoisomerases/GYRA/RequiresSNPConfirmation,188,247,114,212,230,214,254,158,237,244
MEG_3219/Drugs/Fluoroquinolones/Fluoroquinolone-resistant_DNA_topoisomerases/GYRA/RequiresSNPConfirmation,0,0,56,0,142,110,115,62,133,62
MEG_7318/Drugs/Elfamycins/EF-Tu_inhibition/TUFAB/RequiresSNPConfirmation,317,383,225,318,425,384,369,389,483,432
MEG_7103/Drugs/Tetracyclines/Tetracycline_resistance_ribosomal_protection_proteins/TETM,38,21,18,30,41,69,36,63,37,57
MEG_6572/Biocides/Multi-biocide_resistance/Multi-biocide_SMR_efflux_pump/SSME,0,0,0,0,2,0,0,0,0,0
MEG_7119/Drugs/Tetracyclines/Tetracycline_resistance_ribosomal_protection_proteins/TETM,21,10,15,8,11,11,8,12,0,9
MEG_7982/Drugs/betalactams/Class_B_betalactamases/BLAB,0,30,0,0,0,0,0,0,0,16
MEG_8687/Drugs/Mycobacterium_tuberculosis-specific_Drug/MDR_mutant_promoter/RV0678/RequiresSNPConfirmation,0,0,0,0,0,0,0,12,14,0
MEG_6698/Drugs/betalactams/Class_A_betalactamases/TEM,0,2,0,0,0,0,0,0,0,0
MEG_2734/Multi-compound/Drug_and_biocide_resistance/Drug_and_biocide_MFS_efflux_regulator/EMRR,2,6,0,0,4,0,43,49,8,3
MEG_3241/Drugs/Fluoroquinolones/Fluoroquinolone-resistant_DNA_topoisomerases/GYRB/RequiresSNPConfirmation,0,0,95,0,70,0,0,0,134,0
MEG_3140/Multi-compound/Biocide_and_metal_resistance/Biocide_and_metal_resistance_protein/GLPF,0,0,0,0,4,0,14,22,0,6
MEG_1284/Drugs/betalactams/Class_C_betalactamases/BLAEC,0,0,0,0,0,0,5,0,0,0
MEG_4196/Metals/Nickel_resistance/Nickel_resistance_protein/NIRB,0,0,0,10,0,10,0,0,0,0
MEG_8/Drugs/Aminoglycosides/Aminoglycoside-resistant_16S_ribosomal_subunit_protein/A16S/RequiresSNPConfirmation,974,616,600,1183,1082,606,671,845,2131,2088
MEG_8152/Drugs/Fluoroquinolones/Fluoroquinolone-resistant_DNA_topoisomerases/GYRB/RequiresSNPConfirmation,0,0,0,0,0,0,0,0,232,0
MEG_3895/Metals/Mercury_resistance/Mercury_resistance_protein/MERT,0,0,0,0,6,0,0,0,0,0
MEG_2122/Multi-compound/Drug_and_biocide_resistance/Drug_and_biocide_RND_efflux_regulator/CPXAR,16,2,0,0,3,0,20,13,0,0
MEG_6963/Drugs/Tetracyclines/Tetracycline-resistant_16S_ribosomal_subunit_protein/TET16S/RequiresSNPConfirmation,1714,1197,1026,1483,1792,1819,1382,1734,2095,1582
MEG_2808/Drugs/MLS/23S_rRNA_methyltransferases/ERMC,0,0,0,0,0,0,0,0,0,8
MEG_3984/Drugs/MLS/Macrolide-resistant_23S_rRNA_mutation/MLS23S/RequiresSNPConfirmation,486,335,461,479,555,639,416,731,661,593
MEG_7866/Multi-compound/Biocide_and_metal_resistance/Biocide_and_metal_resistance_protein/ZUPT,0,0,0,0,0,0,10,4,0,0
MEG_43/Drugs/Aminoglycosides/Aminoglycoside_N-acetyltransferases/AAC3,0,0,0,0,0,0,0,0,0,6
MEG_7146/Drugs/Tetracyclines/Tetracycline_resistance_ribosomal_protection_proteins/TETM,41,37,41,25,22,37,24,38,31,42
MEG_5383/Drugs/Aminocoumarins/Aminocoumarin-resistant_DNA_topoisomerases/PARE/RequiresSNPConfirmation,30,0,0,27,33,0,0,42,35,33
MEG_5342/Drugs/Fluoroquinolones/Fluoroquinolone-resistant_DNA_topoisomerases/PARC/RequiresSNPConfirmation,0,33,62,23,29,33,160,41,51,16
MEG_4367/Multi-compound/Drug_and_biocide_resistance/Drug_and_biocide_RND_efflux_pumps/OQXB,0,0,0,0,0,0,0,4,0,0
MEG_6917/Drugs/betalactams/Class_A_betalactamases/TEM,0,0,0,0,0,0,2,0,0,0
MEG_5380/Drugs/Aminocoumarins/Aminocoumarin-resistant_DNA_topoisomerases/PARE/RequiresSNPConfirmation,0,68,0,0,0,0,0,116,0,110
MEG_8077/Multi-compound/Drug_and_biocide_resistance/Drug_and_biocide_ABC_efflux_pumps/EFRA,156,67,64,0,89,0,121,83,169,124
MEG_2706/Multi-compound/Drug_and_biocide_resistance/Drug_and_biocide_ABC_efflux_pumps/EFRA,0,50,0,48,88,58,52,82,153,90
MEG_1193/Multi-compound/Drug_and_biocide_and_metal_resistance/Drug_and_biocide_and_metal_RND_efflux_regulator/BAES,0,11,0,0,10,0,76,40,0,0
MEG_7123/Drugs/Tetracyclines/Tetracycline_resistance_ribosomal_protection_proteins/TETM,17,9,5,12,10,5,0,12,15,6
MEG_7312/Drugs/Elfamycins/EF-Tu_inhibition/TUFAB/RequiresSNPConfirmation,1968,2760,1628,1977,2617,2303,3032,2038,2606,2544
MEG_7251/Drugs/betalactams/Class_A_betalactamases/TLA,0,0,24,0,0,0,0,0,0,0
MEG_1096/Drugs/Aminoglycosides/Aminoglycoside_O-phosphotransferases/APH6,2,10,4,0,14,28,10,15,29,73
MEG_7838/Multi-compound/Drug_and_biocide_and_metal_resistance/Drug_and_biocide_and_metal_SMR_efflux_pump/YKKC,0,48,40,0,0,46,52,0,0,16
MEG_8262/Drugs/MLS/MLS_resistance_ABC_efflux_pumps/MSRL,0,0,0,0,0,0,0,0,104,66
MEG_2994/Drugs/Fosfomycin/Fosfomycin_thiol_transferases/FOSA,0,0,0,0,2,0,4,6,0,0
MEG_2681/Metals/Multi-metal_resistance/Multi-metal_resistance_protein/DSBA,0,2,0,0,0,0,2,2,0,0
MEG_8000/Drugs/betalactams/Class_B_betalactamases/BLAB,0,0,0,0,0,0,0,0,0,12
MEG_7267/Biocides/Multi-biocide_resistance/Multi-biocide_RND_efflux_pump/TOLC,13,6,8,0,16,0,37,38,0,6
MEG_3516/Multi-compound/Drug_and_biocide_resistance/Drug_and_biocide_SMR_efflux_pumps/KPNO,0,6,11,9,17,0,49,56,0,0
MEG_2137/Drugs/betalactams/Class_A_betalactamases/CSP,0,0,40,0,0,0,0,0,54,46
MEG_5363/Drugs/Fluoroquinolones/Fluoroquinolone-resistant_DNA_topoisomerases/PARC/RequiresSNPConfirmation,21,0,12,0,24,0,48,58,0,0
MEG_2879/Biocides/Phenolic_compound_resistance/Phenolic_resistance_protein/FABV,14,8,0,8,2,10,14,14,18,2
MEG_7020/Drugs/Tetracyclines/Tetracycline_resistance_MFS_efflux_pumps/TETA,0,0,2,0,4,0,0,0,0,0
MEG_3188/Drugs/Fluoroquinolones/Fluoroquinolone-resistant_DNA_topoisomerases/GYRA/RequiresSNPConfirmation,135,108,107,78,109,214,135,166,167,109
MEG_7331/Drugs/Glycopeptides/VanA-type_resistance_protein/VAN,0,0,0,0,0,0,0,4,0,0
MEG_6933/Drugs/betalactams/Class_A_betalactamases/TEM,0,0,0,0,0,0,0,0,2,0
MEG_6626/Drugs/Sulfonamides/Sulfonamide-resistant_dihydropteroate_synthases/SULII,15,9,10,13,13,16,12,22,11,24
MEG_3883/Metals/Mercury_resistance/Mercury_resistance_regulator/MERR,0,0,0,0,1,0,0,0,0,0
MEG_2119/Multi-compound/Drug_and_biocide_resistance/Drug_and_biocide_RND_efflux_regulator/CPXAR,0,0,0,0,0,0,30,45,0,4
MEG_6175/Multi-compound/Drug_and_biocide_resistance/Drug_and_biocide_RND_efflux_pumps/SDEY,0,42,78,62,68,98,210,146,101,0
MEG_2659/Multi-compound/Biocide_and_metal_resistance/Biocide_and_metal_resistance_protein/DPR,0,0,0,0,0,0,0,0,0,8
MEG_1058/Drugs/Aminoglycosides/Aminoglycoside_O-phosphotransferases/APH3-DPRIME,3,8,9,0,7,9,7,8,8,32
MEG_1925/Drugs/betalactams/Class_C_betalactamases/CMY,2,0,0,0,0,0,0,0,0,0
MEG_3754/Multi-compound/Drug_and_biocide_resistance/Drug_and_biocide_MFS_efflux_pumps/MDTG,0,0,0,2,0,0,24,3,0,0
MEG_1182/Biocides/Acid_resistance/Acid_resistance_protein/ASR,0,0,0,0,0,0,21,12,18,0
MEG_8438/Drugs/betalactams/Class_D_betalactamases/OXA,0,0,0,0,0,0,0,0,26,0
MEG_2456/Metals/Copper_resistance/Copper_resistance_protein/CUTC,2,0,0,0,0,0,21,26,0,0
MEG_3447/Multi-compound/Drug_and_biocide_resistance/Drug_and_biocide_MFS_efflux_pumps/KDEA,4,9,12,0,13,0,71,100,0,0
MEG_4347/Multi-compound/Drug_and_biocide_resistance/Drug_and_biocide_RND_efflux_pumps/OQXB,0,0,0,0,0,0,0,24,0,0
MEG_6701/Drugs/betalactams/Class_A_betalactamases/TEM,0,2,0,0,0,0,0,0,2,0
MEG_6505/Metals/Multi-metal_resistance/Multi-metal_RND_efflux_pumps/SILF,0,0,0,0,0,0,0,8,0,0
MEG_8689/Drugs/Multi-drug_resistance/Multi-drug_ABC_efflux_pumps/SALC,0,0,92,0,0,106,0,0,0,180
MEG_6507/Metals/Multi-metal_resistance/Multi-metal_RND_efflux_pumps/SILP,0,0,0,0,36,0,0,39,0,0
MEG_7305/Drugs/Elfamycins/EF-Tu_inhibition/TUFAB/RequiresSNPConfirmation,305,239,263,314,440,424,315,490,472,408
MEG_3948/Metals/Multi-metal_resistance/Multi-metal_resistance_regulator/MGTA,38,0,0,0,59,0,132,129,0,0
MEG_5386/Drugs/Aminocoumarins/Aminocoumarin-resistant_DNA_topoisomerases/PARE/RequiresSNPConfirmation,0,52,0,0,0,107,86,0,0,0
MEG_6502/Metals/Multi-metal_resistance/Multi-metal_RND_efflux_pumps/SILC,0,0,0,0,0,0,14,19,0,0
MEG_7837/Biocides/Multi-biocide_resistance/Multi-biocide_resistance_protein/YJCG,12,114,64,12,75,55,279,155,20,0
MEG_7221/Drugs/Tetracyclines/Tetracycline_resistance_ribosomal_protection_proteins/TETW,0,0,0,0,0,0,5,6,8,6
MEG_5941/Drugs/Fluoroquinolones/Quinolone_resistance_protein_Qnr/QNRB,0,0,0,0,2,0,0,0,0,0
MEG_5346/Drugs/Fluoroquinolones/Fluoroquinolone-resistant_DNA_topoisomerases/PARC/RequiresSNPConfirmation,377,425,218,376,370,281,302,193,332,491
MEG_6126/Drugs/Rifampin/Rifampin-resistant_beta-subunit_of_RNA_polymerase_RpoB/RPOB/RequiresSNPConfirmation,418,274,178,255,317,358,273,275,400,314
MEG_3549/Drugs/betalactams/Class_A_betalactamases/LEN,0,0,0,0,0,0,0,4,0,0
MEG_6618/Drugs/Sulfonamides/Sulfonamide-resistant_dihydropteroate_synthases/SULII,8,1,6,12,2,14,10,20,17,10
MEG_4172/Metals/Nickel_resistance/Nickel_ABC_efflux_pumps/NIKD,0,0,0,0,0,0,14,11,0,0
MEG_12/Drugs/Aminoglycosides/Aminoglycoside-resistant_16S_ribosomal_subunit_protein/A16S/RequiresSNPConfirmation,313,269,307,445,411,464,344,386,491,453
MEG_7256/Drugs/MLS/MLS_resistance_ABC_efflux_pumps/TLRC,0,0,0,0,70,66,80,94,66,76
MEG_6619/Drugs/Sulfonamides/Sulfonamide-resistant_dihydropteroate_synthases/SULII,4,1,4,6,2,6,10,14,2,4
MEG_3863/Metals/Mercury_resistance/Mercury_resistance_regulator/MERD,0,0,0,0,0,1,0,0,0,0
MEG_3143/Drugs/Fosfomycin/Fosfomycin_target_mutation/GLPT/RequiresSNPConfirmation,26,18,42,46,0,26,32,0,132,68
MEG_3445/Drugs/Mycobacterium_tuberculosis-specific_Drug/Isoniazid-resistant_mutant/KASA/RequiresSNPConfirmation,0,0,0,0,0,0,0,24,0,0
MEG_7623/Drugs/MLS/Streptogramin_A_O-acetyltransferase/VATC,0,0,0,0,0,0,0,0,14,0
MEG_1584/Drugs/Phenicol/Chloramphenicol_acetyltransferases/CATA,0,0,0,0,0,0,0,0,13,0
MEG_5290/Drugs/betalactams/Class_A_betalactamases/OXY,0,0,0,0,0,0,0,5,0,0
MEG_7042/Drugs/Tetracyclines/Tetracycline_resistance_MFS_efflux_pumps/TETB,221,384,166,258,353,338,355,226,396,281
MEG_1642/Drugs/Lipopeptides/Daptomycin-resistant_mutant/CDSA/RequiresSNPConfirmation,30,0,0,0,0,0,34,0,42,34
MEG_5389/Drugs/Aminocoumarins/Aminocoumarin-resistant_DNA_topoisomerases/PARE/RequiresSNPConfirmation,0,0,95,0,0,0,0,132,202,0
MEG_6881/Drugs/betalactams/Class_A_betalactamases/TEM,0,2,0,0,0,2,0,0,2,0
MEG_7208/Drugs/Tetracyclines/Tetracycline_resistance_ribosomal_protection_proteins/TETW,2,0,0,2,4,0,0,10,4,0
MEG_4327/Multi-compound/Drug_and_biocide_resistance/Drug_and_biocide_RND_efflux_pumps/OQXA,0,0,0,0,0,0,5,13,8,0
MEG_3004/Drugs/Fosfomycin/Fosfomycin_thiol_transferases/FOSB,0,0,0,0,0,0,0,0,4,0
MEG_6699/Drugs/betalactams/Class_A_betalactamases/TEM,0,0,0,0,0,0,0,0,2,0
MEG_4011/Metals/Multi-metal_resistance/Multi-metal_ABC_efflux_pumps/MODC,0,0,0,0,74,134,0,108,138,98
MEG_4204/Biocides/Paraquat_resistance/Paraquat_resistance_protein/NMPC,0,0,0,0,20,0,19,36,0,0
MEG_2725/Multi-compound/Drug_and_biocide_resistance/Drug_and_biocide_MFS_efflux_pumps/EMRB,21,0,20,35,12,19,87,63,23,22
MEG_6887/Drugs/betalactams/Class_A_betalactamases/TEM,0,0,0,0,0,0,2,0,0,0
MEG_8258/Drugs/MLS/MLS_resistance_ABC_efflux_pumps/MSRF,0,0,0,48,112,74,0,92,112,126
MEG_1209/Multi-compound/Drug_and_biocide_resistance/Drug_and_biocide_MFS_efflux_pumps/BCR,2,4,0,0,4,0,26,21,0,0
MEG_7483/Drugs/Glycopeptides/VanL-type_regulator/VANRL,0,0,0,0,0,0,0,0,10,0
MEG_4005/Metals/Multi-metal_resistance/Multi-metal_ABC_efflux_pumps/MODB,0,2,0,0,0,0,6,0,0,0
MEG_6687/Drugs/betalactams/Class_A_betalactamases/TEM,0,2,0,0,0,0,0,0,0,0
MEG_3070/Drugs/Fusidic_acid/Ribosomal_zinc-binding_protein/FUSD,0,0,12,0,0,0,0,8,0,10
MEG_3276/Metals/Copper_resistance/Copper_resistance_protein/HPCOPP,0,0,0,0,18,0,4,0,0,0
MEG_4332/Multi-compound/Drug_and_biocide_resistance/Drug_and_biocide_RND_efflux_pumps/OQXA,0,0,0,0,0,0,4,6,0,0
MEG_4663/Drugs/betalactams/Class_D_betalactamases/OXA,0,16,0,0,0,0,0,0,0,0
MEG_8645/Multi-compound/Drug_and_biocide_resistance/Drug_and_biocide_SMR_efflux_pumps/QACC,0,0,43,66,79,0,0,0,58,0
MEG_6050/Metals/Multi-metal_resistance/Multi-metal_resistance_regulator/RCNR,0,0,0,6,4,0,11,14,0,0
MEG_6713/Drugs/betalactams/Class_A_betalactamases/TEM,0,0,0,0,0,0,2,0,0,0
MEG_2443/Metals/Copper_resistance/Copper_resistance_regulator/CUER,6,0,0,0,6,0,29,34,0,0
MEG_6107/Drugs/Rifampin/Rifampin-resistant_beta-subunit_of_RNA_polymerase_RpoB/RPOB/RequiresSNPConfirmation,157,250,218,160,274,191,514,517,243,252
MEG_4289/Drugs/betalactams/Mutant_porin_proteins/OMPFB/RequiresSNPConfirmation,16,9,0,0,21,0,38,44,0,0
MEG_7028/Drugs/Tetracyclines/Tetracycline_resistance_MFS_efflux_pumps/TETA,0,0,0,0,6,0,0,0,2,0
MEG_1161/Metals/Multi-metal_resistance/Multi-metal_resistance_protein/ARSCM,2,3,0,0,2,0,9,12,0,0
MEG_6810/Drugs/betalactams/Class_A_betalactamases/TEM,0,0,0,0,0,2,0,0,2,0
MEG_3244/Drugs/Aminocoumarins/Aminocoumarin-resistant_DNA_topoisomerases/GYRBA/RequiresSNPConfirmation,104,151,165,96,260,120,357,233,164,130
MEG_2085/Metals/Multi-metal_resistance/Multi-metal_resistance_protein/CORA,2,6,25,0,8,5,61,24,12,6
MEG_3758/Multi-compound/Drug_and_biocide_resistance/Drug_and_biocide_MATE_efflux_pumps/MDTK,0,0,0,0,0,0,16,32,0,0
MEG_802/Drugs/Aminoglycosides/Aminoglycoside_O-nucleotidyltransferases/ANT3-DPRIME,0,3,0,0,0,0,0,0,0,0
MEG_3749/Multi-compound/Drug_and_biocide_and_metal_resistance/Drug_and_biocide_and_metal_RND_efflux_pumps/MDTC,70,32,41,0,72,28,276,241,46,0
MEG_5772/Biocides/Peroxide_resistance/peroxide_resistance_regulator/PERR,0,14,0,8,0,12,0,0,0,16
MEG_6902/Drugs/betalactams/Class_A_betalactamases/TEM,0,0,0,0,0,0,2,0,0,0
MEG_6165/Drugs/Nucleosides/Streptothricin_acetyltransferase/SAT,0,0,0,0,16,0,40,0,0,0
MEG_8714/Drugs/Tetracyclines/Tetracycline_resistance_MFS_efflux_pumps/TET63,0,0,0,0,0,0,0,0,108,0
MEG_2071/Metals/Copper_resistance/Copper_resistance_regulator/COPR,28,14,0,0,0,0,0,0,0,0
MEG_6817/Drugs/betalactams/Class_A_betalactamases/TEM,0,2,0,0,0,2,0,0,0,0
MEG_294/Drugs/Aminoglycosides/Aminoglycoside_N-acetyltransferases/AAC6-PRIME,0,0,0,0,0,0,0,0,0,8
MEG_6738/Drugs/betalactams/Class_A_betalactamases/TEM,0,2,0,0,0,0,0,0,0,0
MEG_1732/Drugs/Lipopeptides/Daptomycin-resistant_mutant/CLS/RequiresSNPConfirmation,48,0,36,0,0,0,0,0,0,0
MEG_1742/Multi-compound/Drug_and_biocide_and_metal_resistance/Drug_and_biocide_and_metal_RND_efflux_pumps/CMEC,0,0,0,0,0,0,0,0,50,0
MEG_3764/Multi-compound/Drug_and_biocide_resistance/Drug_and_biocide_RND_efflux_pumps/MDTO,0,0,0,0,0,0,48,10,0,0
MEG_6674/Drugs/betalactams/Class_A_betalactamases/TEM,0,0,0,0,0,2,0,0,0,0
MEG_6012/Drugs/Fluoroquinolones/Quinolone_resistance_protein_Qnr/QNRD,0,0,0,0,0,0,0,0,0,10
MEG_8651/Multi-compound/Drug_and_biocide_resistance/Drug_and_biocide_SMR_efflux_pumps/QACL,2,10,0,0,0,0,0,0,0,0
MEG_7625/Drugs/MLS/Streptogramin_A_O-acetyltransferase/VATD,0,0,0,0,0,0,0,0,10,0
MEG_7609/Drugs/Glycopeptides/VanF-type_accessory_protein/VANYF,0,14,0,0,0,0,0,0,0,10
MEG_1047/Drugs/Aminoglycosides/Aminoglycoside_O-phosphotransferases/APH3-DPRIME,0,0,0,0,0,0,0,0,48,0
MEG_4333/Multi-compound/Drug_and_biocide_resistance/Drug_and_biocide_RND_efflux_pumps/OQXA,0,0,0,0,0,0,8,16,0,0
MEG_7443/Drugs/Glycopeptides/VanK-type_resistance_protein/VANK,0,0,0,0,0,0,0,0,72,0
MEG_3737/Multi-compound/Drug_and_biocide_resistance/Drug_and_biocide_MFS_efflux_pumps/MDFA,6,0,0,6,15,0,17,3,0,0
MEG_6909/Drugs/betalactams/Class_A_betalactamases/TEM,0,0,0,0,0,4,0,2,26,0
MEG_8100/Drugs/Fusidic_acid/Fusidic_acid-resistant_mutation/FUSA/RequiresSNPConfirmation,683,625,376,574,655,538,661,515,655,550
MEG_1932/Drugs/betalactams/Class_C_betalactamases/CMY,0,0,0,0,0,0,2,0,0,0
MEG_6922/Drugs/betalactams/Class_A_betalactamases/TEM,0,2,0,0,0,0,0,0,2,0
MEG_2086/Metals/Multi-metal_resistance/Multi-metal_resistance_protein/CORA,10,10,15,8,16,0,69,13,6,0
MEG_8440/Drugs/betalactams/Class_D_betalactamases/OXA,0,0,0,0,0,0,0,0,28,0
MEG_3048/Drugs/betalactams/Class_A_betalactamases/FPH,0,0,0,0,0,0,0,0,0,12
MEG_6532/Multi-compound/Drug_and_biocide_resistance/Drug_and_biocide_SMR_efflux_pumps/SMR,0,0,14,0,0,0,0,0,0,0
MEG_2650/Metals/Multi-metal_resistance/Multi-metal_resistance_protein/DMEF,0,0,0,0,0,84,0,0,0,0
MEG_6947/Drugs/betalactams/Class_A_betalactamases/TEM,0,0,0,0,0,0,2,0,2,0
MEG_3761/Multi-compound/Drug_and_biocide_resistance/Drug_and_biocide_MFS_efflux_pumps/MDTM,0,0,0,0,0,0,20,28,0,0
MEG_7328/Drugs/Cationic_antimicrobial_peptides/Lipid_A_modification/UGD,16,26,0,0,0,0,47,44,94,0
MEG_3215/Drugs/Fluoroquinolones/Fluoroquinolone-resistant_DNA_topoisomerases/GYRA/RequiresSNPConfirmation,0,0,0,0,0,0,0,0,14,0
MEG_7831/Multi-compound/Biocide_and_metal_resistance/Biocide_and_metal_resistance_protein/YGIW,2,0,0,0,4,0,17,2,0,0
MEG_3006/Drugs/Fosfomycin/Fosfomycin_thiol_transferases/FOSB,34,0,18,0,0,0,0,44,0,0
MEG_1211/Multi-compound/Drug_and_biocide_resistance/Drug_and_biocide_MFS_efflux_pumps/BCR,0,0,10,0,0,0,16,5,0,0
